SampleID,TA,Mass,Salinity,Date,Type
2_M_Sq3_20220702,2182.954504,59.675,35.23,20230525,Sample
1_BT_20230525,1112.310766,59.931,34.464,20230525,CBLS
2_BT_20230525,1112.3411,59.912,34.46,20230525,CBLS
JUNK1,2069.462994,59.955,35,20230530,Junk
CRM1,2227.055481,60.177,33.532,20230530,CRM
Junk2,2057.624683,60.566,35,20230530,Junk
1_M_Sq3_20220630,2184.052377,59.724,34.24,20230530,Sample
2_M_Sq3_20220630,2181.444752,60.347,34.24,20230530,Sample
1_H_Sq3_20220708,2186.579955,59.855,34.23,20230530,Sample
2_H_Sq3_20220708,2185.627686,60.257,34.23,20230530,Sample
1_M_Sq2_20220710,2174.743018,60.298,34.24,20230530,Sample
2_M_Sq2_20220710,2179.275771,59.691,34.24,20230530,Sample
1_H_Sq3_20220705,2186.865845,59.597,34.43,20230530,Sample
2_H_Sq3_20220705,2188.808942,60.212,34.43,20230530,Sample
Junk3,2050.807254,59.803,35,20230530,Junk
1_M_Sq3_20220628,2171.0459,59.825,34.68,20230530,Sample
2_M_Sq3_20220628,2171.906953,59.774,34.68,20230530,Sample
1_H_Sq1_20220630,2176.483373,59.875,34.86,20230530,Sample
2_H_Sq1_20220630,2180.671671,60.01,34.86,20230530,Sample
1_C_Sq3_20220710,2173.535999,59.751,34.73,20230530,Sample
2_C_Sq3_20220710,2179.645841,60.145,34.73,20230530,Sample
1_M_Sq3_20220716,2171.995554,59.706,34.7,20230530,Sample
2_M_Sq3_20220716,2170.93024,60.217,34.7,20230530,Sample
Junk4,2055.874817,59.736,35,20230530,Junk
1_C_Sq1_20220712,2178.661089,59.83,34.62,20230530,Sample
2_C_Sq1_20220712,2188.416988,60.335,34.62,20230530,Sample
1_M_Sq2_20220705,2171.777752,60.303,34.63,20230530,Sample
2_M_Sq2_20220705,2181.174608,59.979,34.63,20230530,Sample
1_M_Sq1_20220630,2177.90963,60.482,35.24,20230530,Sample
2_M_Sq1_20220630,2177.866863,59.835,35.24,20230530,Sample
1_H_Sq1_20220708,2183.577607,59.801,35.06,20230530,Sample
2_H_Sq1_20220708,2182.870117,60.146,35.06,20230530,Sample
Junk5,2053.308629,59.657,35,20230530,Junk
1_M_Sq1_20220628,2173.827703,60.159,34.77,20230530,Sample
2_M_Sq1_20220628,2175.997891,60.055,34.77,20230530,Sample
1_C_Sq1_20220705,2200.624638,59.553,34.55,20230530,Sample
2_C_Sq1_20220705,2166.923882,59.992,34.55,20230530,Sample
1_H_Sq3_20220702,2177.023815,59.625,34.78,20230530,Sample
2_H_Sq3_20220702,2175.678068,59.713,34.78,20230530,Sample
1_H_Sq3_20220710,2178.703765,59.923,34.56,20230530,Sample
2_H_Sq3_20220710,2187.85691,60.436,34.56,20230530,Sample
Junk6,2055.996946,60.241,35,20230530,Junk
1_H_Sq3_20220712,2207.639829,59.942,35.18,20230530,Sample
2_H_Sq3_20220712,2207.687039,60.118,35.18,20230530,Sample
1_M_Sq2_20220628,2169.724327,60.224,35.18,20230530,Sample
2_M_Sq2_20220628,2173.043323,60.074,35.18,20230530,Sample
1_C_Sq1_20220702,2178.042174,60.26,35.02,20230530,Sample
2_C_Sq1_20220702,2180.378763,59.865,35.02,20230530,Sample
1_M_Sq1_20220712,2185.221312,60.428,35.08,20230530,Sample
2_M_Sq1_20220712,2178.643933,60.154,35.08,20230530,Sample
JUNK1,2067.510715,59.768,35,20230531,Junk
CRM1,2220.558571,60.361,33.532,20230531,CRM
Junk2,2056.689362,60.095,35,20230531,Junk
1_H_Sq1_20220712,2214.671222,60.102,35.28,20230531,Sample
2_H_Sq1_20220712,2216.736762,59.838,35.28,20230531,Sample
1_H_Sq1_20220716,2232.485639,59.817,34.92,20230531,Sample
2_H_Sq1_20220716,2233.587773,60.357,34.92,20230531,Sample
1_C_Sq3_20220714,2175.990434,59.86,34.81,20230531,Sample
2_C_Sq3_20220714,2119.634718,60.389,34.81,20230531,Sample
1_M_Sq1_20220708,2182.04601,60.116,35.09,20230531,Sample
2_M_Sq1_20220708,2181.900298,60.488,35.09,20230531,Sample
Junk3,2108.782993,59.898,35,20230531,Junk
1_H_Sq3_20220706,2195.924415,59.914,34.63,20230531,Sample
2_H_Sq3_20220706,2196.224496,60.281,34.63,20230531,Sample
1_C_Sq2_20220712,2199.00014,59.753,34.86,20230531,Sample
2_C_Sq2_20220712,2205.041442,60.262,34.86,20230531,Sample
1_H_Sq2_20220705,2200.192473,60.191,35.03,20230531,Sample
2_H_Sq2_20220705,2195.240863,60.212,35.03,20230531,Sample
1_M_Sq3_20220702,2192.521062,60.347,35.29,20230531,Sample
2_M_Sq3_20220702,2197.502403,60.303,35.29,20230531,Sample
Junk4,2070.101446,59.726,35,20230531,Junk
1_H_Sq1_20220714,2217.307109,60.144,35.27,20230531,Sample
2_H_Sq1_20220714,2219.936333,60.331,35.27,20230531,Sample
1_H_Sq1_20220706,2192.753535,60.15,34.98,20230531,Sample
2_H_Sq1_20220706,2195.200324,60.204,34.98,20230531,Sample
1_M_Sq2_20220716,2194.874029,60.17,35.05,20230531,Sample
2_M_Sq2_20220716,2195.215809,59.688,35.05,20230531,Sample
1_C_Sq3_20220629,2176.383596,60.458,35.49,20230531,Sample
2_C_Sq3_20220629,2186.441714,60.484,35.49,20230531,Sample
Junk5,2068.905188,59.956,35,20230531,Junk
1_H_Sq1_20220629,2190.296227,60.276,35.48,20230531,Sample
2_H_Sq1_20220629,2192.412827,60.129,35.48,20230531,Sample
1_H_Sq1_20220702,2198.137914,60.417,35.2,20230531,Sample
2_H_Sq1_20220702,2197.841386,59.613,35.2,20230531,Sample
1_M_Sq1_20220710,2189.236916,60.062,35.19,20230531,Sample
