Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 13:42:39,6.28,97.58,91.68,100.49,98.5,93.59,78.68,95.44,103.25,102.67,90.77,55.25,99.29,105.11,119.27,100.92,102.47,97.34,100.91,109.46,92.38,89.65,88.37,92.27,88.61,,30.5,965,37,30.04,965D6-(E1);
13.07.22 13:42:54,6.53,83.84,71.92,75.55,69.83,81.41,65.05,87.97,84.19,79.81,76.52,39.06,70.31,71.13,92.86,94.78,83.17,72.5,87.6,108.29,76.56,77.55,63.11,63.11,77.57,,30.5,965,37,30.08,965D6-(E1);
13.07.22 13:43:09,6.78,82.01,76.78,93.92,87.62,86.07,79.54,88.81,99.42,75.65,77.78,66.43,87.38,92.11,117.32,81.39,90.41,74.3,73.17,56.92,85.87,88.33,68.45,81.53,83.09,,30.5,965,37,30.15,965D6-(E1);
13.07.22 13:43:24,7.03,101.89,86.03,118.56,98.1,96.55,101.18,114.28,105.19,123.91,91.7,82.43,124.29,82.98,137.99,90.48,121.3,106.03,95.99,121.76,112.22,123.26,99.17,109.3,111.59,,30.5,965,37,30.18,965D6-(E1);
13.07.22 13:43:39,7.28,99.8,86.16,98.8,106.78,134.54,109.85,117.63,127.11,126.63,88.65,71.18,113.85,109.64,122.87,109.44,110.5,110.96,107.37,120.84,121.55,89.25,96.09,101.45,98.26,,30.5,965,37,30.22,965D6-(E1);
13.07.22 13:43:54,7.53,112.88,94.81,100.63,95.57,107.59,109.03,109.61,98.33,109.28,85.76,66.66,113.99,87.13,120.08,96.77,108.61,88.17,99.92,97.22,108.08,88.6,110.54,99.99,101.31,,30.5,965,37,30.26,965D6-(E1);
13.07.22 13:44:09,7.78,82.01,71.92,95.72,82.4,83.99,74.18,98.31,88.61,95.87,79.44,58.54,87,82.01,81.34,62.09,104.6,74.91,86.38,105.37,63.36,81.74,98.76,76.14,76.76,,30.5,965,37,30.32,965D6-(E1);
13.07.22 13:44:24,8.03,77.6,99.58,96.42,88.65,104.79,76.6,106.19,135.78,115.85,91.3,78.83,127.26,92.86,128,69.7,105.74,95.51,90.6,107.56,116,103.53,123.56,92.79,85.24,,30.5,965,37,30.33,965D6-(E1);
13.07.22 13:44:39,8.28,145.76,117.37,104.62,111.08,94.8,109.72,121.8,122.21,124.08,104.52,94.05,126.81,108.7,136.62,90.85,119.8,103.59,123.15,136.17,110.01,100.78,107.89,111.5,112.12,,30.5,965,37,30.38,965D6-(E1);
13.07.22 13:44:54,8.53,122.34,99.71,98.1,111.78,103.12,87.91,156.08,107.42,109.28,73.13,57.29,93.94,91.48,115.71,89.02,108.9,100.78,80.76,118.71,91.61,100.78,123.56,98.4,93.27,,30.5,965,37,30.41,965D6-(E1);
13.07.22 13:45:09,8.78,101.61,91.03,85.06,97.3,126.17,95.51,103.83,104.77,98.23,73.75,59.23,112.29,96.28,114.27,90.48,107.17,93.04,84.09,122.37,101.05,93.89,97.69,84.4,93.14,,30.5,965,37,30.46,965D6-(E1);
13.07.22 13:45:24,9.03,120.09,100.25,122.95,88.52,122,113.18,121.33,110.8,125.95,95.46,80.56,141.79,127.83,148.82,117.44,139.16,103.59,126.37,96.1,108.63,114.37,123.56,102.12,111.19,,30.5,965,37,30.47,965D6-(E1);
13.07.22 13:45:39,9.28,99.94,94.81,88.71,105.68,98.73,87.03,109.91,120.01,104.91,82.13,48.23,80.98,91.61,130.85,106.05,106.02,90.98,102.76,102.2,109.45,91.1,96.23,98.01,101.43,,30.5,965,37,30.51,965D6-(E1);
13.07.22 13:45:54,9.53,110.42,93.76,101.91,118.45,110.41,99.72,126.03,119.86,120.53,111.15,77.11,119.02,94.12,118.46,117.03,114.3,101.85,124.83,127.94,109.32,106.3,119.64,104.13,106.59,,30.5,965,37,30.54,965D6-(E1);
13.07.22 13:46:09,9.78,119.94,114.67,108.66,109.55,122.59,98.4,153.15,118.55,143.62,104.8,75.28,121.06,111.39,138.85,102.2,105.17,105.08,107.37,131.55,119.26,115.52,111.1,107.79,106.85,,30.5,965,37,30.58,965D6-(E1);
13.07.22 13:46:24,10.03,116.1,96.13,105.05,92.81,102.98,117.81,132.71,102.15,121.71,112.72,78.34,106.27,104.32,127.83,103.09,118.6,102.25,105.92,126.07,109.04,87.42,102.68,98.8,106.72,,30.5,965,37,30.61,965D6-(E1);
13.07.22 13:46:39,10.28,121.89,97.32,110.12,130.63,113.12,104.4,124.92,109.1,126.63,93.98,71.42,111.58,99.11,125.01,109.97,114.6,107.66,119.35,133.29,104.81,116.39,109.14,105.21,109.08,,30.5,965,37,30.64,965D6-(E1);
13.07.22 13:46:54,10.53,118.31,93.37,115.87,110.38,101.33,92.39,117.79,108.54,107.17,96.54,54.46,105.58,68.14,131.02,88.3,105.74,88.55,102.62,103.35,106.03,109.39,110.4,100.39,101.69,,30.5,965,37,30.65,965D6-(E1);
13.07.22 13:47:09,10.78,87.55,99.44,92.4,94.78,98.73,97.87,109.76,97.11,100.92,98.72,61.99,104.06,95.27,120.57,96.89,91.63,86.02,100.49,112.71,97.21,95.76,87.47,86.28,90.81,,30.5,965,37,30.68,965D6-(E1);
13.07.22 13:47:24,11.03,89.56,76.54,92.4,88.91,96.96,76.73,94.73,82.14,112.55,72.5,45.5,82.63,94.12,91.81,81.39,103.46,81.52,59.92,101.06,93.29,92.55,80.98,83.4,73.88,,30.5,965,37,30.69,965D6-(E1);
13.07.22 13:47:39,11.28,97.45,107.99,87.89,97.16,108.43,88.3,113.52,129.82,116.19,88.39,61.87,133.74,99.24,137.65,99.66,100.49,100.25,86.78,126.07,111.53,104.77,115.05,86.16,91.91,,30.5,965,37,30.72,965D6-(E1);
