Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 12:59:38,47.03,117.56,114.31,96.07,101.82,123.05,98.85,141.62,104.62,113.11,107.06,52.25,103.62,95.91,138.32,102.36,108.82,114.77,72.59,107.03,102.2,103.37,101.41,82.42,99.54,,28.5,965,37,30.33,965C3-(E1);
13.07.22 12:59:53,47.28,117.41,114.03,95.79,101.82,122.75,99.11,141.62,104.76,113.11,106.49,52.14,103.62,95.52,137.8,101.85,108.96,114.06,72.72,106.29,102.2,103.23,101.27,82.05,99.42,,28.5,965,37,30.32,965C3-(E1);
13.07.22 13:00:08,47.53,117.26,113.74,95.65,101.27,122.46,98.71,140.95,104.34,112.78,106.21,52.03,103.21,95.27,137.63,100.57,108.52,113.5,72.59,105.85,101.93,103.23,100.86,81.17,99.16,,28.5,965,37,30.29,965C3-(E1);
13.07.22 13:00:23,47.78,116.96,113.46,95.79,101.68,122.46,98.85,141.45,104.48,112.61,105.78,51.57,103.49,95.52,137.45,100.06,108.23,112.94,72.07,105.56,101.93,103.09,101.27,80.42,99.16,,28.5,965,37,30.28,965C3-(E1);
13.07.22 13:00:38,48.03,116.96,113.32,95.65,101.68,122.16,98.71,141.45,104.2,112.78,105.93,51.57,103.62,96.04,137.8,99.93,108.52,113.36,72.46,104.97,101.93,102.67,101.27,79.92,99.16,,28.5,965,37,30.29,965C3-(E1);
13.07.22 13:00:53,48.28,116.66,113.18,95.79,101.27,122.16,99.11,141.45,104.62,112.61,106.07,51.12,103.62,94.75,137.45,99.29,108.67,114.2,72.46,104.68,101.8,103.09,100.86,79.92,98.78,,28.5,965,37,30.26,965C3-(E1);
13.07.22 13:01:08,48.53,116.66,112.89,95.23,101.68,122.16,98.05,141.29,104.48,112.45,106.07,51.01,103.49,94.75,137.11,99.29,108.09,113.92,71.81,104.39,101.39,103.09,100.59,79.67,99.03,,28.5,965,37,30.24,965C3-(E1);
13.07.22 13:01:23,48.78,115.92,112.75,94.95,101.54,121.71,97.78,140.45,104.06,112.28,105.5,50.45,102.93,94.37,137.11,99.04,107.94,111.82,71.81,103.37,101.39,102.95,100.73,78.31,98.52,,28.5,965,37,30.22,965C3-(E1);
13.07.22 13:01:38,49.03,116.07,113.03,94.81,101.41,121.41,97.78,140.12,104.06,112.45,104.8,50.79,102.93,94.11,137.63,98.91,108.52,111.4,71.81,102.35,101.8,103.37,101,78.43,98.65,,28.5,965,37,30.19,965C3-(E1);
13.07.22 13:01:53,49.28,116.07,112.75,94.95,101.41,121.41,97.91,139.62,104.06,112.11,104.66,50.45,103.07,93.86,136.59,98.53,108.09,111.12,71.42,101.48,101.53,102.54,100.86,78.06,98.78,,28.5,965,37,30.19,965C3-(E1);
13.07.22 13:02:08,49.53,116.07,111.76,94.67,101.13,120.82,98.05,138.8,103.79,111.78,104.51,50.11,102.93,94.11,136.07,99.29,107.8,111.26,71.16,101.05,101.12,102.67,100.73,77.2,98.91,,28.5,965,37,30.18,965C3-(E1);
13.07.22 13:02:23,49.78,116.07,111.48,94.67,101.27,121.11,97.65,137.97,103.93,111.62,104.09,49.89,102.66,93.73,135.9,98.66,107.94,111.82,70.9,101.34,101.12,102.95,100.59,76.83,98.65,,28.5,965,37,30.16,965C3-(E1);
13.07.22 13:02:38,50.03,115.77,111.48,94.38,100.86,120.82,97.52,137.64,103.93,111.28,104.09,49.67,102.93,93.6,135.72,98.4,107.94,112.8,71.03,100.9,101.39,102.95,100.86,76.71,98.78,,28.5,965,37,30.15,965C3-(E1);
13.07.22 13:02:53,50.28,115.77,111.2,94.38,101.41,120.82,96.85,137.47,103.93,111.45,104.09,49.44,102.93,93.73,135.21,98.4,108.09,113.78,70.77,101.34,101.39,102.95,100.73,76.09,98.52,,28.5,965,37,30.14,965C3-(E1);
13.07.22 13:03:08,50.53,115.18,111.06,94.38,101.13,120.37,96.59,137.47,103.93,111.12,103.95,49.33,102.93,93.22,135.03,98.53,107.65,110.84,70.51,100.9,101.12,102.4,100.86,76.46,98.4,,28.5,965,37,30.11,965C3-(E1);
13.07.22 13:03:23,50.78,115.48,110.78,93.83,101.13,120.52,96.46,137.14,103.79,111.12,104.09,49.22,102.79,93.48,133.32,97.52,107.65,111.26,70.64,100.47,101.26,102.67,100.73,76.46,98.65,,28.5,965,37,30.11,965C3-(E1);
13.07.22 13:03:38,51.03,115.48,110.64,94.1,101.13,120.37,96.46,137.31,103.51,110.79,103.53,48.77,102.66,93.99,132.29,96.64,107.8,110.01,70.51,100.47,101.26,101.98,100.86,75.73,98.78,,28.5,965,37,30.11,965C3-(E1);
13.07.22 13:03:53,51.28,115.62,110.36,93.83,100.73,120.22,96.06,137.31,103.51,110.79,103.67,48.55,102.66,94.63,132.12,96.51,108.09,110.14,70.64,99.61,100.99,102.4,100.45,76.46,98.14,,28.5,965,37,30.08,965C3-(E1);
13.07.22 13:04:08,51.53,115.03,110.36,93.97,100.45,119.78,96.06,136.98,103.65,110.46,103.53,48.33,102.93,94.63,131.1,96.01,107.5,109.45,69.86,99.18,100.99,102.12,100.18,76.34,97.89,,28.5,965,37,30.08,965C3-(E1);
13.07.22 13:04:23,51.78,114.74,110.5,93.41,100.73,119.48,96.06,136.49,103.65,110.79,102.97,48.33,102.52,93.73,130.93,95.88,107.65,111.12,69.99,99.32,100.59,102.67,100.32,76.95,98.4,,28.5,965,37,30.05,965C3-(E1);
13.07.22 13:04:38,52.03,115.03,110.08,93.83,101,119.34,96.06,136.82,103.51,110.46,103.11,47.99,102.66,93.35,130.08,95.26,108.09,111.26,69.86,100.04,100.99,102.67,100.32,76.46,98.02,,28.5,965,37,30.04,965C3-(E1);
13.07.22 13:04:53,52.28,114.74,110.36,93.55,101,119.48,95.79,136.98,103.51,110.62,102.83,48.21,102.79,93.22,130.08,94.76,107.8,110.7,69.99,99.89,101.26,102.54,100.45,76.22,98.27,,28.5,965,37,30.04,965C3-(E1);
13.07.22 13:05:08,52.53,114.44,109.38,93.55,100.59,118.6,95.79,136.49,103.37,110.13,102.69,47.66,102.66,92.84,129.23,94.01,107.65,111.68,69.47,98.89,101.12,102.67,100.59,75.6,98.4,,28.5,965,37,30.01,965C3-(E1);
13.07.22 13:05:23,52.78,114.74,109.52,93.27,100.73,118.75,95.66,136.65,103.51,109.96,102.13,47.55,102.66,92.08,129.4,93.64,107.65,111.4,69.35,98.32,100.86,102.26,100.45,75.48,98.4,,28.5,965,37,30.01,965C3-(E1);
13.07.22 13:05:38,53.03,114.15,109.38,93.27,100.86,118.16,95.66,136.49,103.51,109.47,101.99,47.44,102.38,91.57,128.72,92.77,107.5,111.82,69.47,98.46,100.59,102.26,100.18,74.5,98.02,,28.5,965,37,30,965C3-(E1);
13.07.22 13:05:53,53.28,114,108.96,92.99,100.45,118.3,95.93,136.16,103.51,109.8,102.27,47.33,102.11,91.45,128.55,92.77,107.21,110.42,69.22,98.17,100.99,102.12,100.32,74.87,98.02,,28.5,965,37,29.99,965C3-(E1);
13.07.22 13:06:08,53.53,114,108.68,92.71,100.32,118.16,94.87,135.83,103.51,109.47,101.57,47.1,102.38,91.32,128.22,92.77,107.5,110.01,68.96,98.6,101.12,102.26,100.32,73.65,98.02,,28.5,965,37,29.97,965C3-(E1);
13.07.22 13:06:23,53.78,114.29,108.82,92.99,100.73,118.3,94.87,135.99,103.23,109.8,102.13,46.77,102.38,90.69,127.37,92.77,107.8,109.87,69.09,97.6,100.72,102.95,100.32,73.41,98.14,,28.5,965,37,29.94,965C3-(E1);
13.07.22 13:06:38,54.03,114,108.68,92.85,100.45,118.3,94.48,135.67,103.09,109.47,101.99,46.77,102.38,90.94,127.88,92.52,107.21,109.59,69.09,98.17,100.86,102.26,100.32,72.92,98.02,,28.5,965,37,29.93,965C3-(E1);
13.07.22 13:06:53,54.28,113.85,108.55,92.57,100.45,118.45,94.35,135.67,103.09,109.63,101.99,46.44,102.38,90.82,127.71,92.03,107.5,108.9,68.7,97.17,100.72,102.4,100.18,72.8,98.02,,28.5,965,37,29.93,965C3-(E1);
13.07.22 13:07:08,54.53,113.71,108.41,92.29,100.18,118.3,93.95,135.01,102.95,108.81,101.29,46.22,102.24,91.19,126.7,90.79,107.21,106.56,68.31,96.75,100.59,102.26,99.91,72.08,98.02,,28.5,965,37,29.93,965C3-(E1);
13.07.22 13:07:23,54.78,113.56,108.13,92.57,100.59,118.16,93.82,135.34,103.09,108.48,101.02,46,101.97,90.44,126.53,90.06,107.21,106.42,68.19,96.75,100.59,102.26,100.18,71.96,97.76,,28.5,965,37,29.91,965C3-(E1);
13.07.22 13:07:38,55.03,113.56,108.55,92.29,100.59,117.72,93.82,135.17,103.23,109.14,101.16,46.11,102.38,90.69,127.37,89.57,107.36,106.28,68.31,97.03,100.59,102.95,100.32,72.32,97.76,,28.5,965,37,29.91,965C3-(E1);
13.07.22 13:07:53,55.28,113.56,108.13,92.71,100.73,117.86,93.82,135.17,103.51,108.81,101.16,45.89,101.97,91.95,128.05,90.3,106.92,106.28,68.31,96.6,100.72,101.98,100.45,71.96,97.89,,28.5,965,37,29.9,965C3-(E1);
13.07.22 13:08:08,55.53,113.41,107.99,92.15,100.45,117.42,93.43,134.85,103.09,108.48,100.74,45.56,102.38,91.95,128.05,89.93,107.21,106.42,67.93,96.46,100.45,101.98,100.05,71.59,97.76,,28.5,965,37,29.89,965C3-(E1);
13.07.22 13:08:23,55.78,113.41,107.99,91.87,100.18,117.57,93.17,134.85,103.09,108.31,100.46,45.67,102.24,91.32,127.37,89.2,106.92,105.6,67.8,96.32,100.05,101.84,99.64,71.47,98.02,,28.5,965,37,29.88,965C3-(E1);
13.07.22 13:08:38,56.03,113.12,107.57,91.87,100.32,117.42,93.69,135.17,103.09,108.15,100.46,45.23,102.24,91.32,127.37,89.44,106.92,107.1,67.29,95.04,100.32,101.84,99.78,71.11,97.64,,28.5,965,37,29.86,965C3-(E1);
13.07.22 13:08:53,56.28,113.26,107.57,92.01,100.05,117.57,92.65,134.36,102.95,107.98,100.46,45.01,102.11,91.32,127.71,88.83,107.36,105.87,67.54,95.18,100.18,102.12,99.78,71.35,98.02,,28.5,965,37,29.86,965C3-(E1);
13.07.22 13:09:08,56.53,112.82,107.85,91.87,100.32,117.42,92.78,134.36,103.09,108.15,100.18,44.79,101.97,90.94,127.54,88.96,106.92,105.6,67.42,94.76,100.32,102.4,100.18,71.23,97.89,,28.5,965,37,29.86,965C3-(E1);
13.07.22 13:09:23,56.78,112.53,107.85,91.87,100.32,117.57,92.52,135.34,103.09,107.98,99.91,44.79,102.11,91.32,126.03,88.35,107.07,105.32,67.29,95.04,100.59,102.54,99.78,71.59,97.76,,28.5,965,37,29.83,965C3-(E1);
13.07.22 13:09:38,57.03,112.68,107.99,91.87,100.32,117.28,92.26,135.01,102.81,107.82,99.77,44.57,102.11,91.83,125.86,88.83,107.07,105.19,67.29,94.19,100.59,102.26,100.18,70.75,97.51,,28.5,965,37,29.83,965C3-(E1);
13.07.22 13:09:53,57.28,112.53,107.43,91.46,100.32,116.54,92.26,134.52,102.81,107.82,99.35,44.57,101.55,91.32,125.36,88.22,107.07,105.05,67.03,93.91,100.05,102.67,99.64,70.75,97.76,,28.5,965,37,29.82,965C3-(E1);
13.07.22 13:10:08,57.53,112.38,107.3,91.6,100.18,116.25,91.74,133.87,102.95,107.82,98.8,44.46,101.97,91.07,125.36,88.22,106.78,106.42,66.65,93.63,100.72,102.12,100.05,70.15,97.89,,28.5,965,37,29.8,965C3-(E1);
13.07.22 13:10:23,57.78,112.24,106.74,91.46,100.05,116.25,91.74,132.57,102.53,107.82,98.52,44.24,101.97,91.07,125.02,89.2,106.92,106.69,66.65,93.21,100.45,101.98,99.78,70.15,97.64,,28.5,965,37,29.8,965C3-(E1);
13.07.22 13:10:38,58.03,112.09,106.33,91.32,99.91,116.1,92.13,132.08,102.67,106.84,98.38,43.91,101.97,90.69,124.86,87.49,106.92,106.14,66.65,91.8,99.91,101.7,99.91,69.91,97.89,,28.5,965,37,29.79,965C3-(E1);
13.07.22 13:10:53,58.28,112.24,106.05,91.18,100.05,115.81,92,131.27,102.81,107.16,98.38,44.02,101.69,90.56,124.86,87.86,106.78,105.87,66.65,91.24,100.45,101.98,99.78,70.03,98.02,,28.5,965,37,29.78,965C3-(E1);
13.07.22 13:11:08,58.53,111.65,106.05,91.04,99.78,115.67,92,131.59,102.67,107.33,98.25,43.91,101.83,90.31,125.19,87.98,106.63,105.32,66.52,90.82,100.18,101.98,99.91,69.79,97.76,,28.5,965,37,29.78,965C3-(E1);
13.07.22 13:11:23,58.78,111.8,106.05,91.18,100.05,115.37,91.09,130.63,102.81,107.33,97.7,43.36,101.55,89.81,125.19,88.35,106.63,105.19,66.26,90.68,100.05,102.54,99.91,69.19,97.38,,28.5,965,37,29.76,965C3-(E1);
13.07.22 13:11:38,59.03,111.8,105.78,90.9,100.32,115.37,91.35,130.46,102.67,107.16,98.11,43.69,101.55,88.31,124.69,87.62,107.07,105.05,66.26,90.82,100.05,102.26,100.18,69.43,97.89,,28.5,965,37,29.75,965C3-(E1);
13.07.22 13:11:53,59.28,111.36,105.78,91.04,99.91,115.08,90.83,129.98,102.67,107.16,97.56,43.58,101.83,88.31,124.02,87.25,106.78,103.69,65.88,90.26,100.05,102.4,99.5,69.91,97.51,,28.5,965,37,29.74,965C3-(E1);
13.07.22 13:12:08,59.53,111.21,105.36,90.63,99.64,114.65,90.44,130.14,102.39,106.67,97.7,43.03,101.42,88.06,123.85,86.89,106.34,102.47,65.63,89.43,100.05,101.98,99.78,69.55,97.38,,28.5,965,37,29.74,965C3-(E1);
13.07.22 13:12:23,59.78,111.51,105.5,90.63,99.78,114.79,90.96,130.3,102.67,106.84,97.42,42.93,101.55,88.18,123.02,86.65,106.49,102.47,65.75,89.57,100.05,101.84,99.37,68.83,96.88,,28.5,965,37,29.72,965C3-(E1);
13.07.22 13:12:38,60.03,111.21,105.5,90.77,100.05,114.79,90.7,130.14,102.53,106.67,97.56,43.03,101.42,88.18,122.36,86.4,106.49,102.2,66.01,90.26,100.59,101.84,99.78,68.48,97.38,,28.5,965,37,29.72,965C3-(E1);
13.07.22 13:12:53,60.28,111.36,105.5,90.35,99.78,114.21,90.18,130.3,102.39,106.18,96.6,42.82,101.83,87.93,123.02,86.04,106.63,102.47,65.63,89.43,100.18,101.7,99.64,67.76,97.13,,28.5,965,37,29.72,965C3-(E1);
