Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 11:18:26,48.05,105.69,98.11,81.28,89.85,105.46,92.19,118.14,92.24,98.23,74.6,39.37,91.09,91.63,117.11,88.02,95.63,93.24,74.31,94.85,90.09,88.89,88.39,73.3,87.24,,28,965,37,25.53,965C3-(E1);
13.07.22 11:18:41,48.3,105.4,97.17,80.87,89.85,105.17,91.8,118.61,92.11,98.07,74.47,39.15,91.36,91.76,116.95,87.9,95.77,93.5,74.18,94.99,89.96,89.16,88.26,73.3,87.24,,28,965,37,25.48,965C3-(E1);
13.07.22 11:18:56,48.55,104.97,96.37,80.74,89.85,105.17,91.54,117.83,91.97,97.75,74.22,38.83,91.22,91.63,116.62,86.69,95.63,94.15,73.92,94.71,89.83,88.63,88,72.81,86.88,,28,965,37,25.44,965C3-(E1);
13.07.22 11:19:11,48.8,104.26,96.24,80.74,89.85,105.03,90.76,117.52,91.7,97.75,73.84,38.83,91.09,91,116.29,86.44,95.49,93.11,73.66,94.28,89.7,88.76,87.73,72.09,87.12,,28,965,37,25.4,965C3-(E1);
13.07.22 11:19:26,49.05,104.26,96.1,80.61,89.72,104.89,89.98,117.83,91.7,97.75,73.33,38.83,90.96,90.87,116.46,86.69,95.35,93.5,73.79,93.57,89.7,88.89,88.13,71.72,86.88,,28,965,37,25.36,965C3-(E1);
13.07.22 11:19:41,49.3,103.54,95.7,80.2,89.32,104.61,89.46,117.52,91.44,97.11,72.57,38.51,90.56,89.86,115.64,86.57,95.07,92.71,73.53,92.87,89.31,88.23,87.86,71,86.76,,28,965,37,25.33,965C3-(E1);
13.07.22 11:19:56,49.55,103.4,95.57,80.47,89.06,104.75,89.2,116.74,91.57,96.95,72.19,38.18,90.56,89.99,115.64,86.57,95.07,92.45,73,92.73,89.31,88.36,87.73,71.12,86.63,,28,965,37,25.29,965C3-(E1);
13.07.22 11:20:11,49.8,102.97,95.17,79.94,88.93,104.61,88.82,116.12,91.17,96.63,71.69,37.97,90.43,89.11,115.15,86.57,94.65,92.32,72.61,92.59,89.19,88.23,87.6,70.15,86.51,,28,965,37,25.25,965C3-(E1);
13.07.22 11:20:26,50.05,102.83,94.64,80.07,89.06,104.33,88.43,116.12,91.44,96.79,72.19,37.65,90.69,89.11,114.99,86.32,94.79,92.19,72.87,92.87,88.93,88.36,87.47,70.15,86.63,,28,965,37,25.22,965C3-(E1);
13.07.22 11:20:41,50.3,102.83,94.64,79.94,89.06,104.33,88.17,115.97,91.44,96.63,72.07,37.65,90.43,89.11,114.82,86.81,94.93,92.19,72.74,92.59,89.19,88.36,87.6,69.67,86.39,,28,965,37,25.18,965C3-(E1);
13.07.22 11:20:56,50.55,102.55,94.24,79.8,88.8,103.77,88.3,115.66,91.3,96.47,72.32,37.54,90.3,88.73,114.5,85.72,94.65,93.24,72.35,92.3,88.8,87.96,87.6,69.31,86.63,,28,965,37,25.14,965C3-(E1);
13.07.22 11:21:11,50.8,102.26,93.98,79.67,88.93,103.49,88.17,115.2,90.9,96.15,71.31,37.65,90.16,88.48,114.01,85.84,94.79,92.32,72.35,92.02,88.93,87.7,87.6,69.07,86.51,,28,965,37,25.09,965C3-(E1);
13.07.22 11:21:26,51.05,101.98,93.84,79.4,88.8,103.07,87.4,114.43,90.77,95.83,70.81,37.32,90.03,87.98,113.52,85.24,94.37,91.28,71.95,91.74,88.67,87.7,87.21,68.95,85.9,,28,965,37,25.07,965C3-(E1);
13.07.22 11:21:41,51.3,101.98,93.45,79.27,88.67,102.65,87.02,114.27,90.77,95.83,71.31,37.43,90.03,88.35,113.52,84.75,94.23,91.54,71.95,91.74,88.8,87.83,87.08,68.95,86.15,,28,965,37,25.01,965C3-(E1);
13.07.22 11:21:56,51.55,101.7,93.45,79,88.54,103.07,86.38,114.27,90.63,95.67,70.93,37.54,89.77,87.6,113.2,84.51,94.37,91.8,71.56,91.46,88.28,87.7,86.95,68.95,86.03,,28,965,37,24.97,965C3-(E1);
13.07.22 11:22:11,51.8,101.55,93.18,78.87,88.54,102.79,86.63,113.81,90.77,95.51,70.43,37.22,89.77,87.48,113.04,84.75,94.23,92.45,71.43,91.04,88.41,87.3,87.08,68.24,86.03,,28,965,37,24.94,965C3-(E1);
13.07.22 11:22:26,52.05,101.41,92.52,78.73,88.54,102.79,86.38,113.35,90.37,95.04,70.31,37.22,89.5,87.23,112.71,83.91,94.09,92.84,71.3,90.34,88.02,87.43,86.82,67.64,85.9,,28,965,37,24.91,965C3-(E1);
13.07.22 11:22:41,52.3,101.27,92.52,78.6,88.28,102.79,86.38,113.2,90.63,95.36,70.05,37,89.63,87.11,112.71,83.67,94.23,91.8,71.17,90.2,88.02,87.3,86.69,67.52,85.78,,28,965,37,24.87,965C3-(E1);
13.07.22 11:22:56,52.55,100.99,92.66,78.47,88.15,102.51,85.49,113.2,90.37,94.72,69.93,37.11,89.5,86.98,112.71,83.31,94.09,92.32,71.04,89.78,88.15,87.57,86.82,67.16,85.78,,28,965,37,24.84,965C3-(E1);
13.07.22 11:23:11,52.8,100.85,92.92,78.47,87.89,102.37,85.1,112.74,90.23,94.72,69.68,36.9,89.24,86.73,112.39,83.31,93.67,91.8,70.78,89.36,88.02,87.43,86.56,67.04,85.54,,28,965,37,24.79,965C3-(E1);
13.07.22 11:23:26,53.05,100.56,92.26,78.2,87.89,102.09,85.1,112.13,90.1,94.4,69.18,36.68,89.37,86.86,112.39,82.84,93.67,91.93,70.52,89.08,87.77,87.04,86.3,66.45,85.54,,28,965,37,24.76,965C3-(E1);
13.07.22 11:23:41,53.3,100.28,91.87,77.93,87.63,101.67,84.59,111.67,89.97,94.4,68.93,36.47,89.1,86.48,112.23,82.72,93.67,90.5,70.39,88.67,87.77,87.04,86.43,66.33,85.42,,28,965,37,24.72,965C3-(E1);
13.07.22 11:23:56,53.55,100.14,91.73,77.8,87.76,101.39,84.09,111.06,89.97,94.24,68.43,36.36,89.1,86.11,111.9,82.48,93.53,89.98,70.26,88.39,87.9,87.04,86.3,66.45,85.18,,28,965,37,24.68,965C3-(E1);
13.07.22 11:24:11,53.8,100,91.34,77.67,87.76,101.11,83.83,110.3,89.97,93.77,68.18,36.15,88.84,85.99,111.9,82,93.12,90.76,70.13,88.11,87.64,86.77,86.17,65.86,85.42,,28,965,37,24.65,965C3-(E1);
13.07.22 11:24:26,54.05,99.58,90.95,77.67,87.5,100.69,83.83,109.55,89.7,93.77,67.81,35.83,88.71,85.86,111.74,81.76,93.25,89.98,70,87.56,87.51,86.64,86.04,65.74,85.3,,28,965,37,24.61,965C3-(E1);
13.07.22 11:24:41,54.3,99.58,90.82,77.67,87.5,100.83,83.58,109.09,89.57,93.29,67.81,35.61,88.71,86.23,111.26,81.41,93.12,89.46,69.61,87.56,87.51,86.64,86.04,65.15,85.18,,28,965,37,24.58,965C3-(E1);
13.07.22 11:24:56,54.55,99.58,90.69,77.53,87.24,100.55,83.33,108.94,89.57,93.14,67.44,35.4,88.58,85.86,111.26,81.64,92.98,88.95,69.48,87.56,87.38,86.51,85.91,65.15,84.93,,28,965,37,24.54,965C3-(E1);
13.07.22 11:25:11,54.8,99.16,90.69,77.14,87.5,100,82.82,108.64,89.3,92.98,66.69,35.3,88.58,85.61,111.26,81.88,92.84,89.2,69.35,87.28,87.51,86.12,85.91,64.56,85.06,,28,965,37,24.5,965C3-(E1);
13.07.22 11:25:26,55.05,99.16,90.95,77,87.37,100.14,82.82,108.19,89.43,92.82,66.07,35.08,88.71,85.24,110.61,82.48,92.98,88.95,69.09,87,87.38,86.25,85.65,64.44,84.93,,28,965,37,24.46,965C3-(E1);
13.07.22 11:25:41,55.3,98.73,90.55,77,87.24,99.72,82.19,108.19,89.3,92.82,65.95,34.87,88.45,85.24,110.45,82.48,92.84,88.3,68.96,86.86,87.12,86.38,85.78,64.32,84.81,,28,965,37,24.41,965C3-(E1);
13.07.22 11:25:56,55.55,98.45,89.77,76.61,87.11,99.45,81.94,107.73,89.17,92.35,65.09,34.55,88.18,84.5,110.13,81.76,92.56,87.53,68.71,86.45,86.87,85.98,85.4,63.97,84.33,,28,965,37,24.37,965C3-(E1);
13.07.22 11:26:11,55.8,98.45,89.64,76.47,87.24,99.72,81.69,107.73,89.17,92.5,64.96,34.34,88.18,84.62,110.13,81.41,92.84,87.27,68.83,86.17,87.12,86.12,85.52,63.62,84.57,,28,965,37,24.34,965C3-(E1);
13.07.22 11:26:26,56.05,98.17,89.12,76.61,86.72,99.45,81.56,107.13,89.17,92.03,64.72,34.23,88.31,84.87,109.97,81.64,92.7,87.4,68.58,85.9,86.87,85.98,85.52,62.91,84.69,,28,965,37,24.32,965C3-(E1);
13.07.22 11:26:41,56.3,98.03,88.99,76.34,86.72,99.45,81.06,106.23,89.04,92.03,64.47,34.23,88.05,83.89,109.65,81.17,92.14,88.04,68.19,85.48,86.74,85.85,85.27,62.21,84.33,,28,965,37,24.28,965C3-(E1);
13.07.22 11:26:56,56.55,97.89,88.47,76.21,86.59,99.17,80.94,105.78,88.9,91.87,63.98,34.13,87.92,83.27,109.49,80.58,92.01,88.43,68.06,84.93,86.87,85.85,85.4,62.09,84.33,,28,965,37,24.25,965C3-(E1);
13.07.22 11:27:11,56.8,98.03,88.47,76.21,86.72,99.45,80.81,105.63,88.9,92.03,63.86,34.13,87.92,83.89,109.33,80.81,92.14,88.04,68.06,85.62,86.74,86.12,85.52,61.98,84.33,,28,965,37,24.22,965C3-(E1);
13.07.22 11:27:26,57.05,97.47,87.95,75.81,86.2,98.76,80.56,104.74,88.51,91.4,63.49,34.13,87.66,83.15,108.53,79.51,91.87,87.66,67.8,85.35,86.23,85.2,85.01,61.51,84.21,,28,965,37,24.18,965C3-(E1);
13.07.22 11:27:41,57.3,97.33,87.56,75.68,86.2,98.76,80.31,104.29,88.24,91.24,63.37,34.02,87.53,82.66,108.21,79.99,91.73,85.87,67.67,85.21,86.23,85.59,85.01,61.63,83.85,,28,965,37,24.14,965C3-(E1);
13.07.22 11:27:56,57.55,97.75,87.56,75.81,86.33,98.34,80.44,103.99,88.37,91.09,63.12,33.92,87.39,82.53,108.05,79.99,91.45,86,67.67,85.21,86.35,85.85,84.88,61.16,83.73,,28,965,37,24.11,965C3-(E1);
13.07.22 11:28:11,57.8,98.03,87.3,75.55,86.33,98.34,80.44,103.69,88.37,91.09,63.12,34.13,87.66,82.53,108.37,79.51,91.45,86.12,67.42,85.07,86.1,85.72,84.88,61.05,83.85,,28,965,37,24.08,965C3-(E1);
13.07.22 11:28:26,58.05,97.75,87.17,75.42,86.46,98.07,80.06,103.4,88.24,90.77,63.25,34.02,87.26,82.41,108.05,78.92,91.59,86.51,67.16,84.66,86.1,85.59,84.62,60.81,83.73,,28,965,37,24.05,965C3-(E1);
13.07.22 11:28:41,58.3,97.47,87.04,75.55,86.2,98.76,80.19,103.69,88.11,90.93,63.37,33.92,87.39,82.29,108.05,78.57,91.45,85.49,67.29,84.25,86.1,85.59,84.88,60.93,83.97,,28,965,37,24.01,965C3-(E1);
13.07.22 11:28:56,58.55,97.06,86.66,75.42,86.2,98.48,80.44,103.55,88.24,90.93,63.61,33.81,87.39,82.17,107.25,78.34,91.45,85.74,67.16,84.38,86.1,85.46,85.01,60.7,83.73,,28,965,37,23.98,965C3-(E1);
13.07.22 11:29:11,58.8,96.64,86.4,75.15,85.81,98.07,79.81,103.55,87.98,90.61,63.25,33.49,87.13,82.29,107.25,77.99,91.18,85.74,66.9,83.97,85.59,85.59,84.62,60.35,83.61,,28,965,37,23.96,965C3-(E1);
13.07.22 11:29:26,59.05,96.22,86.14,75.15,85.94,97.79,79.69,103.1,87.84,90.46,63,33.49,87.13,82.04,107.09,77.63,91.04,86.25,66.9,83.84,85.97,85.46,84.49,60.7,83.73,,28,965,37,23.93,965C3-(E1);
13.07.22 11:29:41,59.3,95.94,85.76,74.76,85.68,97.65,79.81,102.51,87.84,90.46,62.76,33.28,86.61,81.68,106.62,77.28,91.18,85.23,66.52,83.56,85.72,85.33,84.49,60.81,83.37,,28,965,37,23.91,965C3-(E1);
13.07.22 11:29:56,59.55,95.66,85.63,74.89,85.55,96.97,79.69,102.36,87.45,89.67,62.39,32.86,86.74,81.31,106.3,77.17,90.9,85.36,66.39,83.56,85.59,85.07,84.49,60.58,83.49,,28,965,37,23.85,965C3-(E1);
13.07.22 11:30:11,59.8,95.52,85.88,74.76,85.81,96.83,79.56,102.21,87.71,89.99,62.51,32.86,86.74,81.56,106.62,76.82,91.04,86,66.26,84.11,85.46,85.2,84.49,60.35,83.13,,28,965,37,23.84,965C3-(E1);
13.07.22 11:30:26,60.05,95.39,85.76,74.63,85.29,96.28,79.44,101.92,87.58,89.67,62.15,32.44,86.61,81.31,106.14,76.23,90.76,85.87,66.13,83.56,85.33,84.93,84.36,60.12,83.01,,28,965,37,23.82,965C3-(E1);
13.07.22 11:30:41,60.3,95.25,85.5,74.23,85.29,96.15,79.19,101.77,87.31,89.52,61.9,32.54,86.48,81.19,105.98,75.65,90.63,85.49,65.88,83.56,85.2,84.93,84.23,60,83.13,,28,965,37,23.78,965C3-(E1);
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
