Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 10:44:26,14.05,105.4,105.6,107.39,85.03,106.45,92.32,130.18,88.51,111.63,77.41,47.93,91.89,75.05,130.82,94.82,102.43,97.59,80.03,106.86,89.57,84.41,85.65,77.22,82.77,,28,965,37,27.75,965D6-(E1);
13.07.22 10:44:41,14.3,115.47,99.86,117.37,111.52,122.31,103.11,127.29,106.98,117.85,97.37,77.85,104.14,105.95,122.56,121.55,99.29,119.6,95.87,143.12,96.66,104.73,105.64,100.54,103.48,,28,965,37,27.75,965D6-(E1);
13.07.22 10:44:56,14.55,141.97,126.06,121.64,117.24,128.2,117.45,156.93,114.43,124.86,110.76,73.77,118.84,107.7,157.39,92.7,119.67,112.07,98,134.78,111.81,108.26,103.56,102.56,103.22,,28,965,37,27.74,965D6-(E1);
13.07.22 10:45:11,14.8,126.19,97.71,114.5,108,122.61,109.28,123.16,108.26,113.13,95.45,66.15,116.07,96.23,130.65,91.71,103,111.09,90.82,137.05,97.19,93.99,98.37,88.31,93.04,,28,965,37,27.74,965D6-(E1);
13.07.22 10:45:26,15.05,114.43,112.73,85.34,97.56,99.72,95.47,108.79,96.16,120.4,79.22,72.18,95.11,96.75,129.46,99.23,94.79,94.15,81.78,130.14,94.67,88.23,109.56,81.71,88.83,,28,965,37,27.72,965D6-(E1);
13.07.22 10:45:41,15.3,111.78,112.87,107.24,100.82,117.71,107.76,146.07,105.99,118.52,86.29,63.3,103.31,87.23,121.4,90.72,99.86,103.51,95.87,102.61,100,90.09,87.86,102.02,91.43,,28,965,37,27.72,965D6-(E1);
13.07.22 10:45:56,15.55,114.73,123.4,110.33,103.7,126.07,110.95,142.86,120.28,120.91,100,72.67,118.84,114.79,141.39,101.79,112.48,121.48,101.58,138.84,105.71,103.19,101.23,100.67,95.8,,28,965,37,27.72,965D6-(E1);
13.07.22 10:46:11,15.8,125.43,108.93,97.44,98.64,125.02,102.83,139.03,119.4,125.21,104.48,66.75,115.35,86.61,146.52,101.02,108.94,109.56,103.17,126.82,97.59,107.7,100.68,94.82,102.19,,28,965,37,27.72,965D6-(E1);
13.07.22 10:46:26,16.05,125.12,111.46,114.8,100.82,108.58,117.59,144.38,113.12,113.47,95.04,69.88,108.06,96.49,147.95,106.73,107.19,117.16,94.74,129.98,105.43,89.69,103.98,109.69,98.34,,28,965,37,27.72,965D6-(E1);
13.07.22 10:46:41,16.3,124.97,119.46,111.81,102.05,134.37,95.47,139.03,109.54,125.9,109.46,73.04,103.86,109.45,149.93,108.44,118.61,93.24,99,123.06,95.6,100.97,85.4,89.6,92.67,,28,965,37,27.72,965D6-(E1);
13.07.22 10:46:56,16.55,113.11,126.5,109,105.63,136.87,112.35,123.31,120.58,110.63,105.75,74.02,111.04,95.59,152.46,100.64,102.86,126.01,94.18,128.55,100.4,103.47,104.95,99.73,100.13,,28,965,37,27.72,965D6-(E1);
13.07.22 10:47:11,16.8,117.26,105.74,81.41,93.81,113.04,100.27,135.56,104.73,102.26,93,68.43,104.7,84.75,141.39,86.69,91.87,122.79,88.19,151,91.13,98.62,92.74,89.21,86.76,,28,965,37,27.71,965D6-(E1);
13.07.22 10:47:26,17.05,122.22,113.44,105.92,101.64,124.56,106.38,129.06,105.43,115.65,104.9,64.25,106.52,112.72,147.95,98.09,112.03,112.07,93.34,133.49,96.39,99.45,112.39,94.03,92.79,,28,965,37,27.71,965D6-(E1);
13.07.22 10:47:41,17.3,113.4,102.58,95.46,86.33,100.42,122.49,118.92,87.18,116.33,86.03,78.97,98.77,93.92,112.71,86.44,98.02,103.92,85.04,113.12,95.2,89.16,87.08,85.12,91.05,,28,965,37,27.71,965D6-(E1);
13.07.22 10:47:56,17.55,115.92,99.05,106.07,97.83,111.88,99.33,119.7,96.3,115.99,73.96,70.97,106.94,91.88,113.36,92.95,89.25,95.08,82.05,109.82,87.51,84.28,99.59,86.13,91.18,,28,965,37,27.72,965D6-(E1);
13.07.22 10:48:11,17.8,106.55,97.71,97.86,85.03,121.42,105.42,134.57,102.36,107.66,88.82,67.95,96.05,89.61,132.53,100.13,99.01,118.45,95.31,114.78,98.52,95.89,89.17,88.83,89.7,,28,965,37,27.71,965D6-(E1);
13.07.22 10:48:26,18.05,112.37,102.99,87.25,90.37,110.01,101.08,120.95,96.71,106.18,75.49,68.19,104.98,89.86,132.19,68.89,105.45,111.37,84.9,129.03,90.74,90.49,86.69,92.59,97.83,,28,965,37,27.69,965D6-(E1);
13.07.22 10:48:41,18.3,115.92,112.73,104.32,99.32,119.19,111.37,128.89,91.97,120.06,84.71,66.63,107.5,101.57,122.9,98.73,100,98.66,89.3,105.24,98.26,82.2,94.33,84.23,90.56,,28,965,37,27.69,965D6-(E1);
13.07.22 10:48:56,18.55,111.49,105.19,85.07,83.49,111.3,89.46,112.13,97.12,103.24,79.61,50.28,86.09,87.73,117.77,86.32,94.09,92.06,69.87,95.7,75.81,89.42,77.36,79.7,89.33,,28,965,37,27.69,965D6-(E1);
13.07.22 10:49:11,18.8,129.28,119.75,118.73,111.94,122.91,114.46,137.53,110.25,124.52,100.97,74.02,111.33,112.59,126.92,95.69,112.62,120.75,92.64,134.14,108.88,103.89,104.67,95.87,98.21,,28,965,37,27.69,965D6-(E1);
13.07.22 10:49:26,19.05,123.14,106.02,110.18,102.05,115.37,102.83,113.81,99.59,95.67,91.24,58.39,94.57,96.23,124.4,103.47,98.58,105.83,85.04,123.69,98.52,87.83,100.41,87.29,89.33,,28,965,37,27.69,965D6-(E1);
13.07.22 10:49:41,19.3,115.47,118.74,105.19,103.01,127.29,100.54,130.67,98.07,129.38,89.89,63.42,101.79,103.03,134.42,90.1,106.75,115.74,97.57,121.2,93.88,94.8,91.41,89.6,98.21,,28,965,37,27.68,965D6-(E1);
13.07.22 10:49:56,19.55,142.45,127.54,116.76,105.49,120.52,104.06,141.19,107.97,135.02,104.76,68.31,98.09,100.39,136.67,110.16,121.04,115.03,92.92,140.15,103.38,106.85,98.91,95.48,95.8,,28,965,37,27.68,965D6-(E1);
13.07.22 10:50:11,19.8,106.99,91.73,94.61,85.03,117.27,102.7,118.61,109.68,125.03,85.23,69.63,103.03,117.56,141.74,95.95,96.33,110.67,79.23,120.12,89.19,97.25,96.61,107.75,100.26,,28,965,37,27.68,965D6-(E1);
13.07.22 10:50:26,20.05,111.05,104.5,101,87.11,116.68,95.74,127.45,101.24,115.15,81.3,60.49,104.14,91.88,137.19,89.25,98.02,100.54,82.73,132.21,87.12,104.45,93.93,83.22,93.17,,28,965,37,27.68,965D6-(E1);
13.07.22 10:50:41,20.3,121.47,118.59,112.41,95.81,120.52,107.76,124.11,111.4,117.51,102.23,58.86,109.62,106.76,139.28,105.68,113.81,116.74,83,129.66,109.99,95.07,97.42,91.55,95.17,,28,965,37,27.68,965D6-(E1);
13.07.22 10:50:56,20.55,112.67,96.1,105.19,97.16,119.93,113.05,143.71,110.54,114.81,91.51,64.13,94.43,95.59,118.26,100.26,114.85,107.21,91.38,114.18,93.36,97.11,102.6,89.99,90.07,,28,965,37,27.68,965D6-(E1);
13.07.22 10:51:11,20.8,123.9,123.25,106.65,113.08,134.21,107.35,139.19,112.55,135.55,107.17,66.87,105.54,93.28,144.92,105.81,113.96,115.03,99.57,142.62,107.77,102.36,95.54,90.64,90.68,,28,965,37,27.68,965D6-(E1);
13.07.22 10:51:26,21.05,108.58,106.16,107.39,103.83,113.18,117.02,129.86,109.82,114.81,90.43,53.79,94.3,108.77,148.13,100.9,101.85,108.87,88.19,136.24,98.52,98.48,104.39,97.6,94.92,,28,965,37,27.66,965D6-(E1);
13.07.22 10:51:41,21.3,104.11,117.01,86.02,90.9,115.22,103.78,118.61,95.48,120.23,87.75,75.25,109.05,93.92,140.33,85.12,103.29,94.29,83.4,102.03,94.01,87.3,85.01,78.83,96.81,,28,965,37,27.68,965D6-(E1);
13.07.22 10:51:56,21.55,131.62,125.76,111.81,102.6,116.54,109.14,145.9,108.82,113.47,100.97,76.86,102.62,98.43,147.95,110.02,97.59,122.06,97.72,121.98,102.02,95.07,97.29,93.11,98.21,,28,965,37,27.65,965D6-(E1);
