"","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___TS.g25045.t1",210,92,9,0,324,34,336,205,183,273,158
"Pocillopora_acuta_HIv2___RNAseq.g11569.t1",2221,2457,2394,2244,2746,2022,2428,2772,2037,2237,755
"Pocillopora_acuta_HIv2___RNAseq.g25888.t1",890,938,531,700,1288,741,1155,840,1180,838,231
"Pocillopora_acuta_HIv2___RNAseq.g215.t1",824,478,566,1007,350,667,969,715,637,720,52
"Pocillopora_acuta_HIv2___RNAseq.g17471.t1",957,1488,1105,888,1336,986,1329,1176,825,1026,251
"Pocillopora_acuta_HIv2___RNAseq.g22492.t1",2071,2349,1653,1727,2298,1876,1946,2044,1834,1944,562
"Pocillopora_acuta_HIv2___RNAseq.g5658.t1",6,17,7,11,8,14,11,2,20,10,0
"Pocillopora_acuta_HIv2___RNAseq.g12014.t1",2723,2635,3128,2733,3372,3032,3038,2873,3645,2703,1337
"Pocillopora_acuta_HIv2___RNAseq.g12059.t1",1328,1354,716,899,1402,1105,1268,1347,1938,1242,615
"Pocillopora_acuta_HIv2___TS.g1803.t1",484,697,713,501,517,695,532,648,530,529,170
"Pocillopora_acuta_HIv2___TS.g30874.t1",24,18,0,0,20,19,20,14,25,13,10
"Pocillopora_acuta_HIv2___RNAseq.g25313.t1",40,33,5,9,24,12,12,16,43,20,37
"Pocillopora_acuta_HIv2___RNAseq.g27293.t1",114,185,146,112,212,149,150,116,138,149,43
"Pocillopora_acuta_HIv2___RNAseq.g3083.t1",1766,1845,2628,2626,2260,1952,2102,2019,2004,2046,641
"Pocillopora_acuta_HIv2___RNAseq.g28599.t1",265,285,560,256,538,172,514,197,218,190,67
"Pocillopora_acuta_HIv2___TS.g24128.t1",66,64,215,126,94,136,92,66,125,87,21
"Pocillopora_acuta_HIv2___RNAseq.g12804.t1",509,564,612,759,654,535,567,474,628,572,225
"Pocillopora_acuta_HIv2___RNAseq.g18350.t1",16,15,6,17,17,30,12,24,15,1,15
"Pocillopora_acuta_HIv2___RNAseq.g3625.t1",50,43,139,118,53,46,103,22,47,46,4
"Pocillopora_acuta_HIv2___TS.g25948.t1",519,479,476,475,605,490,525,518,497,485,222
"Pocillopora_acuta_HIv2___RNAseq.g4576.t1",7700,9083,8051,8067,9703,7035,7379,8103,6554,7618,3322
"Pocillopora_acuta_HIv2___RNAseq.g625.t1",14,29,4,8,20,31,15,26,31,19,6
"Pocillopora_acuta_HIv2___TS.g25645.t2",3417,2975,3319,3953,3760,4098,3537,3137,3543,3433,1323
"Pocillopora_acuta_HIv2___RNAseq.g23563.t1",49,51,39,145,176,50,39,47,84,73,29
"Pocillopora_acuta_HIv2___RNAseq.g4496.t1",269,419,342,260,475,424,446,488,345,393,124
"Pocillopora_acuta_HIv2___RNAseq.g20756.t1",59,54,20,23,17,21,52,46,73,20,45
"Pocillopora_acuta_HIv2___RNAseq.g11255.t1",338,297,1024,975,353,336,313,209,530,302,183
"Pocillopora_acuta_HIv2___TS.g7374.t2",993,1564,1167,1145,1485,1296,1560,1349,1302,1185,381
"Pocillopora_acuta_HIv2___RNAseq.g17728.t1",45,66,29,21,50,21,153,28,102,58,75
"Pocillopora_acuta_HIv2___RNAseq.g10062.t1",1854,1598,393,701,1649,1478,2984,1397,1550,1809,599
"Pocillopora_acuta_HIv2___RNAseq.g20624.t1",123,86,7,48,17,37,23,40,97,38,9
"Pocillopora_acuta_HIv2___RNAseq.g13132.t1",572,823,1203,963,785,814,1252,690,701,761,310
"Pocillopora_acuta_HIv2___RNAseq.g31054.t1",17,22,22,17,22,16,37,15,20,11,13
"Pocillopora_acuta_HIv2___RNAseq.g3627.t1",2301,3437,1460,1905,2485,4151,2120,2477,3161,2145,778
"Pocillopora_acuta_HIv2___TS.g9115.t1b",390,331,105,109,364,156,296,266,481,287,107
"Pocillopora_acuta_HIv2___RNAseq.g10449.t1",2426,3113,3019,2851,3373,2455,3072,2715,2851,2678,1387
"Pocillopora_acuta_HIv2___TS.g30128.t1",37,284,25,36,51,130,152,92,44,86,9
"Pocillopora_acuta_HIv2___TS.g8627.t1",103,98,61,99,90,67,62,85,100,72,60
"Pocillopora_acuta_HIv2___RNAseq.g18083.t1",68,22,241,79,31,141,102,0,18,105,14
"Pocillopora_acuta_HIv2___TS.g19360.t1",34,38,34,37,37,20,14,9,19,14,40
"Pocillopora_acuta_HIv2___TS.g26911.t2",303,518,422,501,613,409,505,499,559,521,279
"Pocillopora_acuta_HIv2___TS.g19185.t1c",17,21,27,34,20,15,32,10,23,21,30
"Pocillopora_acuta_HIv2___TS.g19185.t1a",21,18,13,41,14,10,35,3,26,15,9
"Pocillopora_acuta_HIv2___RNAseq.g5962.t2",256,235,75,72,136,230,153,189,317,162,108
"Pocillopora_acuta_HIv2___RNAseq.g28570.t1",5,10,21,11,7,11,20,7,6,9,3
"Pocillopora_acuta_HIv2___TS.g18624.t1a",248,29,60,42,24,100,61,37,250,45,23
"Pocillopora_acuta_HIv2___RNAseq.g26283.t1",438,405,341,432,410,348,368,430,427,320,221
"Pocillopora_acuta_HIv2___RNAseq.g30080.t2",3146,3549,3179,3105,4428,3271,3832,3838,3874,3185,3435
"Pocillopora_acuta_HIv2___RNAseq.g7295.t1",481,554,494,408,450,658,765,573,552,515,438
"Pocillopora_acuta_HIv2___RNAseq.g6892.t1",41,25,22,20,28,32,27,24,22,21,16
"Pocillopora_acuta_HIv2___RNAseq.g24325.t1",159,88,197,144,60,105,167,56,126,133,47
"Pocillopora_acuta_HIv2___RNAseq.g418.t1",50,31,61,59,19,37,33,14,46,28,154
"Pocillopora_acuta_HIv2___RNAseq.g24867.t1",146,152,293,262,163,159,159,124,165,169,36
"Pocillopora_acuta_HIv2___RNAseq.g17960.t1",44,32,6,4,47,15,88,18,43,62,52
"Pocillopora_acuta_HIv2___RNAseq.g4294.t1",36,17,59,82,17,50,24,5,20,18,42
"Pocillopora_acuta_HIv2___RNAseq.g28582.t1",1813,1951,1567,1515,1910,1829,2179,1803,2543,1950,794
"Pocillopora_acuta_HIv2___RNAseq.g17941.t1",1620,2494,1736,1567,1763,1945,1854,2471,1716,1734,394
"Pocillopora_acuta_HIv2___TS.g16366.t2",578,800,865,825,764,544,622,500,523,594,421
"Pocillopora_acuta_HIv2___RNAseq.g13628.t1",456,424,1971,1385,644,588,734,447,551,737,298
"Pocillopora_acuta_HIv2___TS.g3417.t1",650,577,375,463,647,686,333,503,431,664,213
"Pocillopora_acuta_HIv2___RNAseq.g9446.t1",1488,1785,1198,1198,1993,1280,1757,1725,1736,1576,510
"Pocillopora_acuta_HIv2___RNAseq.g9586.t1",650,667,773,897,784,720,717,645,915,740,309
"Pocillopora_acuta_HIv2___RNAseq.g7297.t1",628,493,446,378,519,442,483,489,915,405,198
"Pocillopora_acuta_HIv2___RNAseq.g24327.t1",442,340,733,493,394,334,503,216,589,381,195
"Pocillopora_acuta_HIv2___RNAseq.g30082.t1",345,293,391,475,320,259,375,316,323,303,164
"Pocillopora_acuta_HIv2___RNAseq.g9602.t1",6561,17960,7088,7403,14476,10075,11389,14961,7544,9256,1653
"Pocillopora_acuta_HIv2___RNAseq.g15324.t1",185,225,47,85,88,231,104,186,96,159,72
"Pocillopora_acuta_HIv2___RNAseq.g13457.t1",2773,3306,3143,2827,2085,2667,1943,1613,6366,2154,2323
"Pocillopora_acuta_HIv2___RNAseq.g18625.t1",39,7,70,105,32,93,21,33,16,39,26
"Pocillopora_acuta_HIv2___RNAseq.g23041.t1",279,348,931,589,384,375,369,297,238,383,188
"Pocillopora_acuta_HIv2___RNAseq.g16004.t1",569,916,589,586,616,719,693,760,689,830,139
"Pocillopora_acuta_HIv2___TS.g7843.t1",65,1427,41,86,113,783,163,342,111,1066,17
"Pocillopora_acuta_HIv2___RNAseq.g16322.t1",21,13,18,8,17,0,36,21,23,15,37
"Pocillopora_acuta_HIv2___RNAseq.g22053.t2",1181,985,1430,1305,1238,967,1000,1242,1419,1037,702
"Pocillopora_acuta_HIv2___RNAseq.g24044.t2",3099,4204,1972,1656,3143,3123,3601,3213,4723,2511,1156
"Pocillopora_acuta_HIv2___RNAseq.g17985.t1",25,45,0,9,0,13,24,9,9,6,6
"Pocillopora_acuta_HIv2___TS.g24066.t1",15571,12256,1789,4432,11958,9569,9629,8265,13881,8817,3069
"Pocillopora_acuta_HIv2___RNAseq.g17622.t1",454,403,423,472,471,300,375,478,432,415,138
"Pocillopora_acuta_HIv2___TS.g10554.t3",993,732,1511,1347,943,1054,1115,816,1278,1091,307
"Pocillopora_acuta_HIv2___TS.g24208.t1",40,60,73,55,65,28,44,23,38,58,48
"Pocillopora_acuta_HIv2___RNAseq.g9444.t1",411,604,95,219,566,282,421,709,543,239,128
"Pocillopora_acuta_HIv2___RNAseq.g7458.t1",628,858,673,516,811,699,671,721,545,669,142
"Pocillopora_acuta_HIv2___TS.g27153.t2",840,958,921,704,1070,864,1136,964,1195,1007,200
"Pocillopora_acuta_HIv2___RNAseq.g29064.t1",692,870,641,679,1177,675,895,849,703,621,496
"Pocillopora_acuta_HIv2___RNAseq.g10645.t1",9,18,0,7,24,11,12,0,28,33,40
"Pocillopora_acuta_HIv2___RNAseq.g24993.t1",98,63,62,39,75,52,73,81,68,78,41
"Pocillopora_acuta_HIv2___RNAseq.g15326.t1",57,63,77,65,56,63,49,45,22,73,21
"Pocillopora_acuta_HIv2___TS.g16504.t1",108,76,8,0,55,18,235,12,106,144,27
"Pocillopora_acuta_HIv2___RNAseq.g26566.t1",384,228,129,91,473,129,663,146,258,746,215
"Pocillopora_acuta_HIv2___RNAseq.g21699.t1",267,506,193,191,281,410,405,361,220,326,19
"Pocillopora_acuta_HIv2___TS.g4124.t2a",57,13,27,28,10,14,27,20,30,19,7
"Pocillopora_acuta_HIv2___TS.g4124.t2b",61,46,277,253,165,218,247,59,363,222,33
"Pocillopora_acuta_HIv2___RNAseq.g21727.t1",297,405,199,377,265,539,704,351,301,412,94
"Pocillopora_acuta_HIv2___RNAseq.g8098.t1",17403,29125,7873,13118,20987,23252,26569,21825,15763,21567,6744
"Pocillopora_acuta_HIv2___RNAseq.g24046.t1",1639,2949,1089,942,1990,1835,2026,1992,1617,1706,438
"Pocillopora_acuta_HIv2___RNAseq.g2877.t1",229,399,180,299,176,350,248,241,267,259,107
"Pocillopora_acuta_HIv2___RNAseq.g19329.t1",126,88,13,28,67,80,56,67,62,63,44
"Pocillopora_acuta_HIv2___RNAseq.g455.t1",74,47,95,74,78,88,80,55,102,110,17
"Pocillopora_acuta_HIv2___RNAseq.g7812.t1",443,720,212,304,803,536,579,614,355,663,105
"Pocillopora_acuta_HIv2___RNAseq.g9742.t1",1144,1387,1154,1232,1478,1077,1237,1239,1099,1219,567
"Pocillopora_acuta_HIv2___RNAseq.g27504.t1",78,79,70,142,107,95,105,51,84,87,21
"Pocillopora_acuta_HIv2___RNAseq.g28259.t1",370,659,338,459,347,516,413,560,469,371,125
"Pocillopora_acuta_HIv2___RNAseq.g26403.t1",3297,3636,4384,4588,3957,3511,3661,3792,3429,3211,2845
"Pocillopora_acuta_HIv2___RNAseq.g29066.t1",134,97,128,107,167,81,144,76,140,132,86
"Pocillopora_acuta_HIv2___TS.g28905.t1",22,55,29,26,12,42,34,29,17,38,30
"Pocillopora_acuta_HIv2___RNAseq.g22148.t1",457,559,730,610,751,292,647,430,398,378,180
"Pocillopora_acuta_HIv2___RNAseq.g4531.t1",1276,1896,1534,1508,1636,1647,1723,1543,1643,1600,625
"Pocillopora_acuta_HIv2___RNAseq.g20372.t1",132,357,154,128,317,185,246,221,193,263,25
"Pocillopora_acuta_HIv2___RNAseq.g30058.t1",22,14,11,7,22,25,20,5,13,10,0
"Pocillopora_acuta_HIv2___RNAseq.g4235.t1",9,30,40,35,37,28,15,23,15,28,19
"Pocillopora_acuta_HIv2___RNAseq.g13377.t1",176,106,68,65,169,120,133,95,327,138,130
"Pocillopora_acuta_HIv2___RNAseq.g22682.t1b",396,1890,129,130,110,1184,182,652,298,209,181
"Pocillopora_acuta_HIv2___RNAseq.g22682.t1a",1010,988,1177,1107,1102,978,976,982,1250,1045,553
"Pocillopora_acuta_HIv2___RNAseq.g11603.t1",441,558,558,415,677,469,665,410,611,555,378
"Pocillopora_acuta_HIv2___RNAseq.g21725.t1",189,266,140,225,151,422,582,247,177,242,60
"Pocillopora_acuta_HIv2___RNAseq.g21348.t1",679,953,225,312,922,521,874,737,782,770,227
"Pocillopora_acuta_HIv2___TS.g29996.t1",2591,4187,1372,1543,2674,1272,1953,1638,5472,1356,2424
"Pocillopora_acuta_HIv2___RNAseq.g4931.t1",1542,2824,1923,2015,2119,2250,2155,2103,2078,1960,584
"Pocillopora_acuta_HIv2___RNAseq.g19206.t1",136,128,112,125,150,157,237,97,124,161,84
"Pocillopora_acuta_HIv2___RNAseq.g26337.t1",50,40,38,41,23,42,20,16,36,52,39
"Pocillopora_acuta_HIv2___TS.g26218.t1",4954,6094,184,442,9220,1596,6234,9188,4734,3441,5179
"Pocillopora_acuta_HIv2___RNAseq.g7207.t2",616,692,873,772,902,743,775,566,863,645,530
"Pocillopora_acuta_HIv2___TS.g10560.t2",1316,899,458,668,1170,929,1338,1181,1374,1240,744
"Pocillopora_acuta_HIv2___RNAseq.g12028.t1",50,79,132,89,36,46,48,33,62,42,10
"Pocillopora_acuta_HIv2___RNAseq.g2265.t1",862,1234,1044,792,1197,917,1007,953,843,844,267
"Pocillopora_acuta_HIv2___RNAseq.g27370.t1",323,348,2414,951,624,697,735,133,296,718,68
"Pocillopora_acuta_HIv2___RNAseq.g4050.t1",253,154,452,307,236,198,309,125,246,233,149
"Pocillopora_acuta_HIv2___TS.g14960.t2",573,266,296,190,337,206,551,225,582,412,121
"Pocillopora_acuta_HIv2___TS.g970.t1",39,31,26,3,39,17,29,49,32,32,8
"Pocillopora_acuta_HIv2___RNAseq.g30571.t1",738,765,342,361,525,792,682,796,1053,720,92
"Pocillopora_acuta_HIv2___RNAseq.g25931.t1",960,1824,492,515,1069,1503,1480,1400,1175,1763,266
"Pocillopora_acuta_HIv2___RNAseq.15066_t",2940,3240,4421,3409,3663,2533,3411,3110,3742,2759,1336
"Pocillopora_acuta_HIv2___RNAseq.g18347.t1",841,1006,1182,1035,1148,968,954,891,781,988,433
"Pocillopora_acuta_HIv2___RNAseq.g28640.t1",294,408,376,479,336,450,389,358,501,486,178
"Pocillopora_acuta_HIv2___RNAseq.g16742.t1",67,66,208,134,102,133,117,75,75,68,50
"Pocillopora_acuta_HIv2___RNAseq.g23043.t1",817,1228,847,811,1362,856,1102,1135,812,938,269
"Pocillopora_acuta_HIv2___RNAseq.g1758.t1",418,417,556,557,424,366,408,338,434,354,523
"Pocillopora_acuta_HIv2___RNAseq.g18610.t1",344,276,713,613,386,467,433,369,341,393,114
"Pocillopora_acuta_HIv2___RNAseq.g14091.t1",31,5,20,6,12,0,29,9,10,35,19
"Pocillopora_acuta_HIv2___RNAseq.g17620.t1",1401,1249,839,605,1915,601,1102,1480,1567,1371,223
"Pocillopora_acuta_HIv2___RNAseq.g28382.t1",291,261,492,354,603,133,396,234,360,366,84
"Pocillopora_acuta_HIv2___RNAseq.g16391.t1",72,104,108,84,131,77,128,43,67,117,48
"Pocillopora_acuta_HIv2___RNAseq.g19337.t1",437,494,1105,1292,423,774,539,201,306,560,217
"Pocillopora_acuta_HIv2___RNAseq.g31177.t1",50,17,93,66,79,42,25,17,33,31,10
"Pocillopora_acuta_HIv2___RNAseq.g11624.t1",186,216,286,197,202,185,226,211,172,225,84
"Pocillopora_acuta_HIv2___TS.g6925.t1",111,63,72,36,107,61,167,13,185,242,40
"Pocillopora_acuta_HIv2___RNAseq.g26955.t1",4161,3973,81020,66691,10359,15334,11114,13705,3740,10987,1768
"Pocillopora_acuta_HIv2___RNAseq.g2932.t1",1121,485,808,962,823,752,1203,706,1292,978,214
"Pocillopora_acuta_HIv2___RNAseq.g16740.t1",1250,1591,667,721,783,1125,770,730,1792,659,668
"Pocillopora_acuta_HIv2___RNAseq.g19284.t1",76,62,110,170,72,113,213,82,64,152,32
"Pocillopora_acuta_HIv2___TS.g24340.t1",1242,1149,2196,2144,1433,1708,1399,1359,1418,1483,792
"Pocillopora_acuta_HIv2___RNAseq.g28898.t1",473,625,400,435,320,399,379,439,416,356,158
"Pocillopora_acuta_HIv2___RNAseq.g5953.t1",40,60,36,52,59,44,21,56,57,55,99
"Pocillopora_acuta_HIv2___RNAseq.g8581.t1",797,347,81,41,181,280,179,231,767,227,136
"Pocillopora_acuta_HIv2___TS.g23197.t1",957,1256,676,740,1240,1055,1115,1206,1006,942,291
"Pocillopora_acuta_HIv2___RNAseq.g19335.t1",6646,8205,3967,4468,6423,5842,6291,7279,6272,6192,3046
"Pocillopora_acuta_HIv2___RNAseq.g31175.t1",214,299,194,234,258,285,205,274,198,228,37
"Pocillopora_acuta_HIv2___RNAseq.g30434.t1",210,118,827,742,197,215,237,204,201,289,92
"Pocillopora_acuta_HIv2___RNAseq.g9988.t2",243,217,133,144,263,190,167,116,267,201,165
"Pocillopora_acuta_HIv2___RNAseq.g7618.t1",423,577,288,318,532,471,516,594,567,447,272
"Pocillopora_acuta_HIv2___RNAseq.g4335.t1",34,49,63,110,63,53,22,48,22,37,14
"Pocillopora_acuta_HIv2___RNAseq.g28059.t1",388,420,327,364,392,238,340,502,384,392,117
"Pocillopora_acuta_HIv2___RNAseq.g7845.t1",480,548,362,382,640,375,433,526,346,516,117
"Pocillopora_acuta_HIv2___RNAseq.g26362.t1",19,13,65,46,28,17,56,16,37,27,23
"Pocillopora_acuta_HIv2___TS.g28596.t2",388,448,486,553,517,459,462,366,343,372,163
"Pocillopora_acuta_HIv2___RNAseq.21139_t",157,175,206,242,144,102,194,171,154,147,58
"Pocillopora_acuta_HIv2___RNAseq.g1706.t1",643,595,634,696,739,564,693,611,676,611,252
"Pocillopora_acuta_HIv2___RNAseq.g4875.t1",638,1015,571,540,957,882,741,826,643,672,233
"Pocillopora_acuta_HIv2___RNAseq.g13239.t1",81,61,114,163,83,86,60,57,62,76,39
"Pocillopora_acuta_HIv2___RNAseq.g4399.t2",74,44,31,88,69,38,197,24,58,54,33
"Pocillopora_acuta_HIv2___RNAseq.g9451.t1",1846,1860,1863,1654,1632,2011,2041,1783,2232,1681,451
"Pocillopora_acuta_HIv2___RNAseq.g7847.t1",1864,2802,4367,3984,2978,2076,2962,3313,2063,2853,720
"Pocillopora_acuta_HIv2___TS.g22293.t1",178,68,281,315,153,188,191,109,143,196,72
"Pocillopora_acuta_HIv2___TS.g17026.t1",265,198,772,443,321,212,211,171,462,190,62
"Pocillopora_acuta_HIv2___TS.g1850.t1",47,53,159,125,35,44,80,23,54,63,7
"Pocillopora_acuta_HIv2___RNAseq.g30954.t1",109,93,24,37,88,66,162,110,122,94,50
"Pocillopora_acuta_HIv2___RNAseq.g26881.t2",2226,2244,1694,1375,4446,966,1684,600,1784,3686,686
"Pocillopora_acuta_HIv2___RNAseq.g2187.t1",389,386,536,489,392,379,422,465,454,341,234
"Pocillopora_acuta_HIv2___RNAseq.g8288.t1",192,188,172,174,221,132,213,134,100,125,30
"Pocillopora_acuta_HIv2___RNAseq.g17971.t1",29,14,37,29,15,26,17,11,21,27,3
"Pocillopora_acuta_HIv2___RNAseq.g20815.t1",387,395,482,389,467,361,449,358,455,445,142
"Pocillopora_acuta_HIv2___RNAseq.g10093.t2",2292,4045,2735,2827,3414,2902,2809,3115,2771,2421,695
"Pocillopora_acuta_HIv2___TS.g27114.t1a",89,117,39,61,60,59,43,49,64,83,5
"Pocillopora_acuta_HIv2___RNAseq.g6172.t1",63,44,68,99,113,42,101,37,76,101,16
"Pocillopora_acuta_HIv2___RNAseq.g798.t1",27,17,10,347,455,86,6,195,27,70,10
"Pocillopora_acuta_HIv2___RNAseq.g15158.t1",214,168,227,280,248,185,178,145,246,185,88
"Pocillopora_acuta_HIv2___RNAseq.g25424.t1",1357,1656,1806,1955,1744,1507,1622,1541,1470,1555,1177
"Pocillopora_acuta_HIv2___RNAseq.g18162.t1",88,59,58,90,105,82,79,93,109,89,17
"Pocillopora_acuta_HIv2___RNAseq.g26256.t1",472,127,1435,0,332,0,540,167,658,627,52
"Pocillopora_acuta_HIv2___RNAseq.g21197.t1",192,274,8,11,324,116,204,361,245,173,24
"Pocillopora_acuta_HIv2___RNAseq.g7110.t1",26,16,59,0,30,20,20,13,60,14,0
"Pocillopora_acuta_HIv2___RNAseq.g15004.t1",56,47,70,69,15,55,22,20,84,31,217
"Pocillopora_acuta_HIv2___RNAseq.g4111.t1",225,299,433,315,286,335,756,216,266,411,104
"Pocillopora_acuta_HIv2___RNAseq.g22402.t1",29,39,17,11,13,33,16,13,42,16,9
"Pocillopora_acuta_HIv2___RNAseq.g9845.t1",1442,1700,1589,1828,1766,1757,1722,2020,1548,1653,485
"Pocillopora_acuta_HIv2___TS.g13129.t1",1707,672,13,42,650,312,470,1088,1250,431,596
"Pocillopora_acuta_HIv2___TS.g25559.t1",25,19,43,103,45,64,142,24,24,42,6
"Pocillopora_acuta_HIv2___RNAseq.g23174.t1",1257,1277,1325,1260,1404,1286,1228,1393,1413,1180,483
"Pocillopora_acuta_HIv2___TS.g19116.t1",59,38,0,10,32,7,45,10,30,13,0
"Pocillopora_acuta_HIv2___TS.g104.t2b",58,89,851,488,57,197,499,70,36,89,20
"Pocillopora_acuta_HIv2___TS.g104.t2a",593,895,805,678,1106,765,939,826,685,966,346
"Pocillopora_acuta_HIv2___RNAseq.g11376.t2a",5362,6553,6003,5989,9399,6409,7418,6284,6430,7738,2442
"Pocillopora_acuta_HIv2___RNAseq.g11376.t2b",35,29,230,120,52,19,76,19,55,55,10
"Pocillopora_acuta_HIv2___RNAseq.g21334.t1",669,823,574,538,527,656,494,678,598,516,274
"Pocillopora_acuta_HIv2___RNAseq.g23869.t1",370,355,248,351,382,210,355,293,228,204,84
"Pocillopora_acuta_HIv2___RNAseq.g20394.t1",37,21,0,40,29,48,17,311,73,10,24
"Pocillopora_acuta_HIv2___RNAseq.g3516.t1",421,640,353,391,411,453,614,573,325,492,83
"Pocillopora_acuta_HIv2___TS.g31203.t1",365,401,628,636,275,386,397,369,379,386,149
"Pocillopora_acuta_HIv2___RNAseq.g6800.t1",40,10,27,16,12,14,16,0,22,20,13
"Pocillopora_acuta_HIv2___RNAseq.g20175.t1",104,75,125,98,72,72,89,59,110,84,105
"Pocillopora_acuta_HIv2___RNAseq.g22689.t1",356,463,455,404,341,415,284,368,389,395,118
"Pocillopora_acuta_HIv2___RNAseq.g25426.t1",552,1144,1018,718,582,980,714,676,712,539,331
"Pocillopora_acuta_HIv2___TS.g21869.t1",26,19,27,18,30,15,31,20,28,20,19
"Pocillopora_acuta_HIv2___RNAseq.g24507.t1",1087,853,1322,1069,840,972,1159,752,1101,899,1252
"Pocillopora_acuta_HIv2___RNAseq.g16669.t1",416,686,1871,1774,785,779,846,502,571,572,240
"Pocillopora_acuta_HIv2___RNAseq.g12555.t1",339,363,423,373,423,331,358,288,276,282,211
"Pocillopora_acuta_HIv2___RNAseq.g15087.t1",824,671,944,924,700,730,814,783,749,788,342
"Pocillopora_acuta_HIv2___TS.g23107.t1",15,18,0,14,24,21,14,9,15,18,0
"Pocillopora_acuta_HIv2___RNAseq.g769.t1",777,554,426,475,694,536,360,696,789,673,646
"Pocillopora_acuta_HIv2___RNAseq.g6302.t1",64,85,61,88,57,36,33,33,67,55,4
"Pocillopora_acuta_HIv2___RNAseq.g11609.t1",17893,41410,28470,31925,28614,38091,28057,40976,18398,27347,10040
"Pocillopora_acuta_HIv2___RNAseq.g22393.t1",79,104,116,99,104,99,90,68,81,70,25
"Pocillopora_acuta_HIv2___RNAseq.g30071.t1",1332,1342,1474,1405,1180,1177,1290,1308,1577,1155,738
"Pocillopora_acuta_HIv2___RNAseq.g18431.t1",746,1072,1075,825,1030,900,949,895,916,946,336
"Pocillopora_acuta_HIv2___RNAseq.g13902.t1",6,25,135,102,18,32,71,4,27,18,0
"Pocillopora_acuta_HIv2___RNAseq.g9115.t1",712,825,998,933,1025,676,848,788,689,792,220
"Pocillopora_acuta_HIv2___RNAseq.g17949.t2",3152,2980,1155,1015,2682,1285,2525,2316,2674,1990,1057
"Pocillopora_acuta_HIv2___TS.g14553.t1",241,447,543,423,416,423,333,325,322,430,180
"Pocillopora_acuta_HIv2___RNAseq.g29318.t1",1387,1542,2116,1974,1583,1635,1557,1402,1477,1611,498
"Pocillopora_acuta_HIv2___RNAseq.g7400.t1",42,35,22,26,14,34,39,25,30,45,3
"Pocillopora_acuta_HIv2___RNAseq.g20177.t1",207,127,257,242,145,157,101,117,230,140,185
"Pocillopora_acuta_HIv2___RNAseq.g9117.t1",134,146,82,163,109,128,114,122,118,108,38
"Pocillopora_acuta_HIv2___RNAseq.g30073.t1",1098,1666,1100,1014,1871,944,2041,1828,1110,1691,186
"Pocillopora_acuta_HIv2___RNAseq.g26231.t1",134,87,95,80,156,84,89,111,109,170,52
"Pocillopora_acuta_HIv2___RNAseq.g14465.t1",336,544,515,535,578,374,707,436,290,529,187
"Pocillopora_acuta_HIv2___RNAseq.g11487.t1",379,497,416,464,391,394,506,418,369,389,192
"Pocillopora_acuta_HIv2___TS.g6442.t1",40,16,21,31,38,26,69,31,34,51,8
"Pocillopora_acuta_HIv2___TS.g1872.t1",185,247,150,129,216,141,408,191,203,227,65
"Pocillopora_acuta_HIv2___RNAseq.g2554.t1a",22,23,61,46,22,24,37,27,19,26,37
"Pocillopora_acuta_HIv2___RNAseq.g1165.t1",50,21,42,75,35,69,52,25,30,35,9
"Pocillopora_acuta_HIv2___RNAseq.g8030.t1",580,585,2110,1495,678,815,961,665,1189,730,1365
"Pocillopora_acuta_HIv2___RNAseq.g28690.t1",127,228,203,192,167,223,105,204,154,151,79
"Pocillopora_acuta_HIv2___TS.g7828.t1",1140,1191,1100,953,1053,1166,1057,1095,1275,1058,320
"Pocillopora_acuta_HIv2___RNAseq.g17039.t1",1003,1064,625,581,1054,781,878,928,1078,838,296
"Pocillopora_acuta_HIv2___TS.g24751.t1",226,315,180,158,278,322,256,322,302,248,87
"Pocillopora_acuta_HIv2___RNAseq.g24288.t1",15,11,27,17,17,10,13,14,16,27,6
"Pocillopora_acuta_HIv2___RNAseq.g3832.t1",723,1229,7,48,954,476,932,599,777,868,433
"Pocillopora_acuta_HIv2___RNAseq.g29892.t1",252,265,95,212,460,282,337,301,218,276,142
"Pocillopora_acuta_HIv2___TS.g4397.t1",264,465,390,410,295,394,402,340,395,303,376
"Pocillopora_acuta_HIv2___TS.g25894.t1",48,16,37,18,27,25,22,41,21,24,25
"Pocillopora_acuta_HIv2___RNAseq.g16921.t1",2828,4873,2282,2392,3374,3142,3282,3249,2695,3061,1064
"Pocillopora_acuta_HIv2___RNAseq.g24794.t1",43,49,91,71,85,54,49,58,22,60,35
"Pocillopora_acuta_HIv2___RNAseq.g13599.t1",2452,2584,3327,3682,2452,2840,2212,2703,2426,2225,1447
"Pocillopora_acuta_HIv2___RNAseq.g28692.t1",1500,1929,1413,1098,1719,1236,1195,1229,1105,1082,318
"Pocillopora_acuta_HIv2___RNAseq.g6433.t2",974,1076,1206,1099,1353,986,1123,1051,1147,1029,393
"Pocillopora_acuta_HIv2___RNAseq.g14467.t1",215,191,200,254,197,219,159,170,262,163,91
"Pocillopora_acuta_HIv2___RNAseq.g7758.t1",1351,852,232,355,1004,570,759,1029,985,809,618
"Pocillopora_acuta_HIv2___RNAseq.g19347.t1",1522,1629,1986,1776,1668,1544,1712,1468,1382,1543,1199
"Pocillopora_acuta_HIv2___TS.g22542.t3a",605,963,776,930,727,756,769,663,718,717,545
