"","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g17400.t1",1235,1202,1043,851,1313,1091,1188,1063,1331,1212,402
"Pocillopora_acuta_HIv2___RNAseq.g9577.t1",79,82,47,50,77,102,70,51,107,56,4
"Pocillopora_acuta_HIv2___RNAseq.g14228.t1",59,87,111,70,106,125,135,90,48,90,34
"Pocillopora_acuta_HIv2___RNAseq.g4465.t1",847,991,1485,1601,1077,1090,943,908,1029,847,1997
"Pocillopora_acuta_HIv2___RNAseq.g20032.t1",219,359,319,300,221,375,579,244,317,307,92
"Pocillopora_acuta_HIv2___RNAseq.g30595.t1",841,866,965,1025,802,1224,1038,1023,1006,1114,158
"Pocillopora_acuta_HIv2___TS.g27171.t2",388,394,610,721,602,410,490,510,329,498,220
"Pocillopora_acuta_HIv2___RNAseq.g2703.t1",366,454,722,650,429,406,497,306,493,466,199
"Pocillopora_acuta_HIv2___RNAseq.g6714.t1",299,739,35,163,1234,927,2647,2151,906,1565,230
"Pocillopora_acuta_HIv2___TS.g12743.t1b",35,48,26,34,43,17,45,25,18,43,34
"Pocillopora_acuta_HIv2___RNAseq.g12089.t1",124,37,102,100,110,143,115,56,79,105,24
"Pocillopora_acuta_HIv2___RNAseq.g11010.t1",47,76,40,27,73,55,30,49,93,78,7
"Pocillopora_acuta_HIv2___RNAseq.g28504.t1",250,269,76,77,295,141,258,248,200,268,168
"Pocillopora_acuta_HIv2___RNAseq.g3063.t2",1223,1055,1145,1199,1300,1218,1169,1262,1283,1035,712
"Pocillopora_acuta_HIv2___RNAseq.g13604.t1",170,54,362,364,133,227,773,85,201,175,82
"Pocillopora_acuta_HIv2___RNAseq.g13157.t1",1370,2182,2044,2360,2318,1862,1675,1972,1772,1674,1190
"Pocillopora_acuta_HIv2___RNAseq.g21584.t1",471,564,465,612,731,482,444,543,460,502,215
"Pocillopora_acuta_HIv2___RNAseq.g27079.t1",1035,1262,880,979,922,1117,1126,1037,1393,1016,246
"Pocillopora_acuta_HIv2___RNAseq.g26609.t2",5069,3273,3513,4017,4978,4240,3951,4189,6803,3998,3045
"Pocillopora_acuta_HIv2___RNAseq.g5811.t1",1810,1781,2454,2468,2837,1799,2685,2102,2198,2044,391
"Pocillopora_acuta_HIv2___TS.g26822.t1",654,786,569,564,693,641,754,767,654,772,220
"Pocillopora_acuta_HIv2___RNAseq.g21266.t1",476,6772,85,279,1544,4778,198,2619,20139,1737,1174
"Pocillopora_acuta_HIv2___RNAseq.g7709.t1",1339,1150,1123,1453,947,1053,1468,1218,1908,1230,342
"Pocillopora_acuta_HIv2___RNAseq.g18059.t1",605,696,426,409,923,339,611,747,568,473,307
"Pocillopora_acuta_HIv2___RNAseq.g8175.t3",1035,1092,1129,1041,1295,945,1398,872,1145,1094,427
"Pocillopora_acuta_HIv2___RNAseq.g10514.t1",433,520,325,442,519,580,428,660,536,593,287
"Pocillopora_acuta_HIv2___RNAseq.30394_t",262,166,273,211,286,201,199,256,208,186,103
"Pocillopora_acuta_HIv2___TS.g22672.t1",98,39,233,174,83,84,72,98,61,64,17
"Pocillopora_acuta_HIv2___RNAseq.g6687.t1",319,820,68,106,1083,235,542,1061,552,358,158
"Pocillopora_acuta_HIv2___RNAseq.g10516.t1",315,265,301,296,429,273,227,365,453,282,222
"Pocillopora_acuta_HIv2___RNAseq.g12500.t1",1144,1017,697,618,1238,1082,1382,828,1944,1224,404
"Pocillopora_acuta_HIv2___RNAseq.g27461.t1",120,235,106,52,215,85,175,119,147,108,79
"Pocillopora_acuta_HIv2___RNAseq.1912_t",342,639,277,301,360,552,304,501,461,325,98
"Pocillopora_acuta_HIv2___RNAseq.g19134.t1",3887,3854,6618,6533,4816,4463,4035,3794,5201,3866,5263
"Pocillopora_acuta_HIv2___RNAseq.g7587.t1",823,849,575,452,779,656,458,529,984,615,321
"Pocillopora_acuta_HIv2___RNAseq.g1526.t1",217,169,318,243,271,266,264,295,338,292,445
"Pocillopora_acuta_HIv2___RNAseq.g5813.t1",983,950,1056,824,998,818,925,837,1108,876,421
"Pocillopora_acuta_HIv2___RNAseq.g21264.t1",3866,5056,2160,2367,5385,2513,3609,4412,4377,3926,1822
"Pocillopora_acuta_HIv2___RNAseq.g24900.t1",1163,5143,524,3337,8198,9038,2407,4649,4417,2723,1938
"Pocillopora_acuta_HIv2___RNAseq.g18016.t1",125,620,5,25,596,307,387,442,282,538,61
"Pocillopora_acuta_HIv2___RNAseq.g10794.t1",335,256,98,187,284,245,228,325,360,289,171
"Pocillopora_acuta_HIv2___TS.g10710.t2",1000,1073,1441,1289,1171,1010,1117,1026,1338,1220,459
"Pocillopora_acuta_HIv2___TS.g15946.t1",124,971,0,143,977,357,112,719,185,150,58
"Pocillopora_acuta_HIv2___RNAseq.g26169.t1",1098,1179,934,998,1413,885,1228,1324,1128,1037,389
"Pocillopora_acuta_HIv2___RNAseq.g24775.t1",54,51,102,130,69,84,44,52,40,70,18
"Pocillopora_acuta_HIv2___TS.g8474.t1",21,0,24,22,6,22,26,0,11,13,17
"Pocillopora_acuta_HIv2___TS.g12050.t1",120,178,89,107,327,120,202,126,123,135,176
"Pocillopora_acuta_HIv2___RNAseq.g1499.t1",205,125,351,52,368,55,344,299,246,97,39
"Pocillopora_acuta_HIv2___RNAseq.g21033.t1",195,235,188,202,340,153,257,234,216,142,42
"Pocillopora_acuta_HIv2___TS.g30819.t1",10,9,6,7,7,8,7,9,16,7,6
"Pocillopora_acuta_HIv2___RNAseq.g12290.t1",55,33,0,19,22,30,40,38,53,42,24
"Pocillopora_acuta_HIv2___RNAseq.g11735.t1",2542,2855,4077,4359,2915,2324,2619,2825,3019,2741,2542
"Pocillopora_acuta_HIv2___RNAseq.g20835.t1",4780,12159,1045,1172,11686,4016,8712,12574,5053,7904,1298
"Pocillopora_acuta_HIv2___RNAseq.g22638.t1",19811,15727,2628,5536,15741,11403,12843,10920,17186,11943,8237
"Pocillopora_acuta_HIv2___RNAseq.g19238.t1",2119,2324,2066,2653,1593,3875,1967,1482,3574,1653,917
"Pocillopora_acuta_HIv2___RNAseq.g25181.t1",177,247,230,251,245,250,201,212,157,225,100
"Pocillopora_acuta_HIv2___RNAseq.g24902.t1",71,73,0,50,79,74,15,90,121,14,25
"Pocillopora_acuta_HIv2___RNAseq.g26011.t1",109,64,60,161,62,82,85,71,59,96,56
"Pocillopora_acuta_HIv2___TS.g18657.t1a",1784,2562,2512,2316,2859,2180,2427,2554,2325,2107,1764
"Pocillopora_acuta_HIv2___RNAseq.g16321.t1",37,21,19,12,26,13,20,18,28,13,60
"Pocillopora_acuta_HIv2___RNAseq.g26013.t1",70,52,56,85,59,52,54,60,55,47,11
"Pocillopora_acuta_HIv2___RNAseq.g20628.t1",134,183,98,105,140,161,151,132,135,140,36
"Pocillopora_acuta_HIv2___TS.g22788.t1",241,264,44,38,177,286,169,231,295,104,142
"Pocillopora_acuta_HIv2___TS.g20544.t1",186,191,192,120,181,166,155,203,162,184,54
"Pocillopora_acuta_HIv2___RNAseq.g8567.t1",278,250,358,295,324,332,253,225,377,352,166
"Pocillopora_acuta_HIv2___RNAseq.g13823.t1",2350,4309,71,104,4608,1714,4025,2804,2768,3178,697
"Pocillopora_acuta_HIv2___RNAseq.g11474.t1",227,307,150,234,229,185,243,170,207,170,142
"Pocillopora_acuta_HIv2___RNAseq.g3251.t1",61,109,42,61,67,98,139,63,69,102,15
"Pocillopora_acuta_HIv2___RNAseq.g3751.t1",3018,3269,3152,2968,4073,2404,3581,3577,3039,3160,1419
"Pocillopora_acuta_HIv2___TS.g1654.t1",19,23,14,11,14,21,31,17,13,18,15
