Date,Calib.Date,Time,tank,squaricle,SampleID,pH,pH_mV,temp,salinity,,
20220701,20220618,17:33,M,1,M_Sq1_20220701,7.84,-68.23136,28.9,37.15,,
20220701,20220618,17:31,M,2,M_Sq2_20220701,7.83,-67.63382,29.2,37.13,,
20220701,20220618,17:36,M,3,M_Sq3_20220701,7.87,-70.02398,29.1,37.15,,
20220701,20220618,17:44,H,1,H_Sq1_20220701,7.66,-57.47564,31.1,37.15,,
20220701,20220618,17:40,H,2,H_Sq2_20220701,7.69,-59.26826,30.5,37.13,,
20220701,20220618,17:42,H,3,H_Sq3_20220701,7.71,-60.46334,30.4,36.99,,
20220702,20220618,9:26,C,1,C_Sq1_20220702,7.89,-71.21906,25.7,37.03,,
20220702,20220618,9:23,C,2,C_Sq2_20220702,7.85,-68.8289,25.8,37.01,,
20220702,20220618,9:24,C,3,C_Sq3_20220702,7.88,-70.62152,25.9,36.93,,
20220702,20220618,9:32,M,1,M_Sq1_20220702,7.72,-61.06088,26.7,37.06,,
20220702,20220618,9:31,M,2,M_Sq2_20220702,7.79,-65.24366,26.5,37.06,,
20220702,20220618,9:35,M,3,M_Sq3_20220702,7.75,-62.8535,26.6,37.12,,
20220702,20220618,9:41,H,1,H_Sq1_20220702,7.58,-52.69532,29.4,37.15,,
20220702,20220618,9:38,H,2,H_Sq2_20220702,7.54,-50.30516,29.1,37.03,,
20220702,20220618,9:40,H,3,H_Sq3_20220702,7.57,-52.09778,29.5,37.03,,
20220702,20220618,12:54,C,1,C_Sq1_20220702,8.05,-80.7797,26.9,37.12,,
20220702,20220618,12:47,C,2,C_Sq2_20220702,8.03,-79.58462,27,37.13,,
20220702,20220618,12:52,C,3,C_Sq3_20220702,8,-77.792,26.8,37.15,,
20220702,20220618,12:58,M,1,M_Sq1_20220702,7.82,-67.03628,28.6,37.13,,
20220702,20220618,12:56,M,2,M_Sq2_20220702,7.85,-68.8289,28.4,37.1,,
20220702,20220618,13:02,M,3,M_Sq3_20220702,7.87,-70.02398,28.7,37.22,,
20220702,20220618,13:07,H,1,H_Sq1_20220702,7.63,-55.68302,30.6,37.14,,
20220702,20220618,13:04,H,2,H_Sq2_20220702,7.65,-56.8781,30.8,37.15,,
20220702,20220618,13:05,H,3,H_Sq3_20220702,7.63,-55.68302,30.9,37.11,,
20220702,20220618,17:14,C,1,C_Sq1_20220702,8.01,-78.38954,27.1,37.18,,
20220702,20220618,17:17,C,2,C_Sq2_20220702,7.99,-77.19446,27.3,36.95,,
20220702,20220618,17:21,C,3,C_Sq3_20220702,8.01,-78.38954,27.2,37.13,,
20220702,20220618,17:23,M,1,M_Sq1_20220702,7.83,-67.63382,28.8,37,,
20220702,20220618,17:27,M,2,M_Sq2_20220702,7.82,-67.03628,29,36.97,,
20220702,20220618,17:30,M,3,M_Sq3_20220702,7.88,-70.62152,28.7,37.07,,
20220702,20220618,17:33,H,1,H_Sq1_20220702,7.64,-56.28056,30.9,36.97,,
20220702,20220618,17:35,H,2,H_Sq2_20220702,7.7,-59.8658,31.2,36.91,,
20220702,20220618,17:38,H,3,H_Sq3_20220702,7.7,-59.8658,30.7,36.96,,
20220703,20220618,9:15,C,1,C_Sq1_20220703,7.88,-70.62152,26.9,37.14,,
20220703,20220618,9:17,C,2,C_Sq2_20220703,7.87,-70.02398,26.9,37.1,,
20220703,20220618,9:18,C,3,C_Sq3_20220703,7.89,-71.21906,26.8,37.22,,
20220703,20220618,9:21,M,1,M_Sq1_20220703,7.71,-60.46334,28.5,37.14,,
20220703,20220618,9:24,M,2,M_Sq2_20220703,7.8,-65.8412,28.2,37.15,,
20220703,20220618,9:26,M,3,M_Sq3_20220703,7.74,-62.25596,28.3,37.11,,
20220703,20220618,9:30,H,1,H_Sq1_20220703,7.59,-53.29286,30.6,37.14,,
20220703,20220618,9:32,H,2,H_Sq2_20220703,7.53,-49.70762,30.5,36.93,,
20220703,20220618,9:34,H,3,H_Sq3_20220703,7.58,-52.69532,30.4,37.06,,
20220703,20220618,12:56,C,1,C_Sq1_20220703,8.07,-81.97478,27.5,37.22,,
20220703,20220618,13:02,C,2,C_Sq2_20220703,8.01,-78.38954,27.4,37.06,,
20220703,20220618,13:07,C,3,C_Sq3_20220703,8.01,-78.38954,27.3,37.13,,
20220703,20220618,13:04,M,1,M_Sq1_20220703,7.84,-68.23136,29,37.03,,
20220703,20220618,13:05,M,2,M_Sq2_20220703,7.86,-69.42644,29.1,37.12,,
20220703,20220618,13:07,M,3,M_Sq3_20220703,7.86,-69.42644,28.8,37.13,,
20220703,20220618,13:09,H,1,H_Sq1_20220703,7.62,-55.08548,30.9,37.15,,
20220703,20220618,13:11,H,2,H_Sq2_20220703,7.66,-57.47564,30.8,37.13,,
20220703,20220618,13:14,H,3,H_Sq3_20220703,7.64,-56.28056,30.5,36.91,,
20220703,20220618,17:01,C,1,C_Sq1_20220703,8.03,-79.58462,27.3,36.96,,
20220703,20220618,17:03,C,2,C_Sq2_20220703,7.98,-76.59692,27.2,36.95,,
20220703,20220618,17:05,C,3,C_Sq3_20220703,8.01,-78.38954,27.3,37.02,,
20220703,20220618,17:09,M,1,M_Sq1_20220703,7.81,-66.43874,28.8,36.99,,
20220703,20220618,17:11,M,2,M_Sq2_20220703,7.86,-69.42644,29,36.98,,
20220703,20220618,17:12,M,3,M_Sq3_20220703,7.87,-70.02398,29.2,36.93,,
20220703,20220618,17:15,H,1,H_Sq1_20220703,7.63,-55.68302,31,36.89,,
20220703,20220618,17:16,H,2,H_Sq2_20220703,7.71,-60.46334,30.7,37.05,,
20220703,20220618,17:18,H,3,H_Sq3_20220703,7.73,-61.65842,30.9,37.13,,
20220705,20220618,9:26,C,1,C_Sq1_20220705,7.89,-71.21906,27,37,,
20220705,20220618,9:23,C,2,C_Sq2_20220705,7.86,-69.42644,27,36.97,,
20220705,20220618,9:24,C,3,C_Sq3_20220705,7.91,-72.41414,26.9,37.05,,
20220705,20220618,9:32,M,1,M_Sq1_20220705,7.69,-59.26826,28.6,37.07,,
20220705,20220618,9:31,M,2,M_Sq2_20220705,7.82,-67.03628,28.2,37.11,,
20220705,20220618,9:35,M,3,M_Sq3_20220705,7.72,-61.06088,28.4,37.12,,
20220705,20220618,9:41,H,1,H_Sq1_20220705,7.57,-52.09778,30.6,37.13,,
20220705,20220618,9:38,H,2,H_Sq2_20220705,7.55,-50.9027,30.6,37.15,,
20220705,20220618,9:40,H,3,H_Sq3_20220705,7.6,-53.8904,30.5,37.13,,
20220705,20220618,14:50,C,1,C_Sq1_20220705,8.06,-81.37724,27.6,37.16,,
20220705,20220618,14:52,C,2,C_Sq2_20220705,8.03,-79.58462,27.5,37.1,,
20220705,20220618,14:53,C,3,C_Sq3_20220705,8.03,-79.58462,27.4,37.18,,
20220705,20220618,14:56,M,1,M_Sq1_20220705,7.83,-67.63382,29.1,36.95,,
20220705,20220618,14:54,M,2,M_Sq2_20220705,7.88,-70.62152,29.2,37.13,,
20220705,20220618,15:01,M,3,M_Sq3_20220705,7.88,-70.62152,28.9,37,,
20220705,20220618,15:08,H,1,H_Sq1_20220705,7.6,-53.8904,31,36.97,,
20220705,20220618,15:03,H,2,H_Sq2_20220705,7.64,-56.28056,30.9,37.07,,
20220705,20220618,15:05,H,3,H_Sq3_20220705,7.62,-55.08548,30.6,36.97,,
20220705,20220618,17:14,C,1,C_Sq1_20220705,8.05,-80.7797,27.4,37.06,,
20220705,20220618,17:17,C,2,C_Sq2_20220705,8,-77.792,27.3,37.06,,
20220705,20220618,17:21,C,3,C_Sq3_20220705,8.03,-79.58462,27.4,37.13,,
20220705,20220618,17:23,M,1,M_Sq1_20220705,7.79,-65.24366,28.9,37.03,,
20220705,20220618,17:27,M,2,M_Sq2_20220705,7.88,-70.62152,29.1,37.13,,
20220705,20220618,17:30,M,3,M_Sq3_20220705,7.89,-71.21906,29.3,37.02,,
20220705,20220618,17:33,H,1,H_Sq1_20220705,7.61,-54.48794,31.1,36.99,,
20220705,20220618,17:35,H,2,H_Sq2_20220705,7.69,-59.26826,30.8,36.98,,
20220705,20220618,17:38,H,3,H_Sq3_20220705,7.71,-60.46334,31,36.93,,
20220706,20220618,9:30,C,1,C_Sq1_20220706,7.88,-70.62152,27.1,36.89,,
20220706,20220618,9:32,C,2,C_Sq2_20220706,7.85,-68.8289,27.1,37.12,,
20220706,20220618,9:34,C,3,C_Sq3_20220706,7.91,-72.41414,26.8,37.13,,
20220706,20220618,9:37,M,1,M_Sq1_20220706,7.69,-59.26826,28.7,37.15,,
20220706,20220618,9:40,M,2,M_Sq2_20220706,7.8,-65.8412,28,37.13,,
20220706,20220618,9:42,M,3,M_Sq3_20220706,7.72,-61.06088,28.1,36.99,,
20220706,20220618,9:44,H,1,H_Sq1_20220706,7.59,-53.29286,30.8,37.03,,
20220706,20220618,9:47,H,2,H_Sq2_20220706,7.51,-48.51254,30.7,37.01,,
20220706,20220618,9:50,H,3,H_Sq3_20220706,7.56,-51.50024,30.6,37.05,,
